,ResponseId,EndDate,team_name,themes,Issue,counterfact,othercounter,Participant's Previous Response,Blame.Trump,Presence of Counterfactual OT,Presence of Counterfactual TS,Agreement,Presence of Counterfactual 1 OT,Presence of Counterfactual  1 TS,Agreement,CounterFactual_Presence.Final,counterNum,COVID-19 OT,COVID-19 TS,Agreement,COVID-19  2 OT,COVID-19 2 TS,Agreement,COVID Final,Blame OT,Blame TS,Agreement,Blame 2 OT,Blame 2 TS,Agreement,Blame Final,Flagged OT,Flagged TS,Comments OT,Comments TS
1,R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",lifesat,confinement,NA,,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",posaffect,confinement,NA,,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",negaffect,confinement,NA,,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",polar,confinement,NA,,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",iasian,china communicating spread of the virus more timely and with more transparency,NA,,,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,3,3,0,3,3,0,3,,,,
6,R_3Opn01NyerOFmAe,4/24/2020 18:12,Forecasting Team 1,1,lifesat,n/a,NA,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideolrep,NA,NA,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideoldem,NA,NA,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",lifesat,None. ,NA,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",posaffect,See answers on Life Satisfaction,NA,,,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,1,"Their answer to lifesat is on row 10, ""None""",more information needed
