,X,ResponseId,phase,team_name,domain,counterfact,othercounter,Participant.s.Previous.Response,Presence.of.Counterfactual.OT,Presence.of.Counterfactual.HK,Agreement_Presence_1,Presence.of.Counterfactual.1.OT,Presence.of.Counterfactual..1.HK,Agreement_Presence_2,CounterFactual_Presence_Final,counterNum,COVID.19.OT,COVID.19.HK,Agreement_COVID_1,COVID.19..2.OT,COVID.19.2.HK,Agreement_COVID_2,COVID.Final,Onus.OT,Onus.HK,Onus_Agreement_1,Onus.2.OT,Onus.2.HK,Onus_Agreement_2,Onus.Final,Flagged.OT,Flagged.HK,Comments.OT,Comments.HK
1,1,R_1IgsGFMZYhVCPXU,1,ms607,lifesat,confinement,NA,NA,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
2,2,R_1IgsGFMZYhVCPXU,1,ms607,posaffect,confinement,NA,NA,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
3,3,R_1IgsGFMZYhVCPXU,1,ms607,negaffect,confinement,NA,NA,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
4,4,R_1IgsGFMZYhVCPXU,1,ms607,polar,confinement,NA,NA,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
5,5,R_1IgsGFMZYhVCPXU,1,ms607,iasian,china communicating spread of the virus more timely and with more transparency,NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
6,6,R_3Opn01NyerOFmAe,1,Forecasting Team 1,lifesat,n/a,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
7,7,R_3D5hhCqsvLNisbo,1,ab,ideolrep,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
8,8,R_3D5hhCqsvLNisbo,1,ab,ideoldem,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
9,9,R_2UgadrXE2OiyQIB,1,TheMets,lifesat,None.,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
10,10,R_2UgadrXE2OiyQIB,1,TheMets,posaffect,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
11,11,R_2UgadrXE2OiyQIB,1,TheMets,negaffect,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
12,12,R_2UgadrXE2OiyQIB,1,TheMets,ideolrep,See answers on Life Satistfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
13,13,R_2UgadrXE2OiyQIB,1,TheMets,ideoldem,See answers on Life Satistfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
14,14,R_2UgadrXE2OiyQIB,1,TheMets,polar,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
15,15,R_2UgadrXE2OiyQIB,1,TheMets,iasian,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
16,16,R_2UgadrXE2OiyQIB,1,TheMets,easian,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
17,17,R_2UgadrXE2OiyQIB,1,TheMets,iafric,See answers on Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
18,18,R_2UgadrXE2OiyQIB,1,TheMets,eafric,See answers for Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
19,19,R_2UgadrXE2OiyQIB,1,TheMets,igend,See answers for Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
20,20,R_2UgadrXE2OiyQIB,1,TheMets,egend,See answers for Life Satisfaction,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,1,"Their answer to lifesat is on row 10, ""None""",more information needed
21,21,R_2ZZyRqUPQ41Rcxl,1,AhamBrahamasmi,lifesat,None. Nothing could change this,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
22,22,R_22JuVmmGmu5qWDO,1,C-Team,lifesat,"Barring dramatic types of counterfactuals, earlier application of social distancing may have affected the forecast. The direction and effect size of that would be hard to estimate.",NA,NA,1,1,0,1,1,0,1,1,2,2,0,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
23,23,R_sRueTBbGYDURxcd,1,Cascade Institute,lifesat,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
24,24,R_2D7zcSqrVUj0sRy,1,1859,igend,I don't believe that COVID or any counterfactual event will have a significant impact on implicit gender biases.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
25,25,R_2D7zcSqrVUj0sRy,1,1859,egend,I don't think that COVID or any counterfactual event will significantly impact explicit gender bias.,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
26,26,R_WASIBllES8jF0t3,1,R4VST9,iasian,"Impressive COVID19 management in Asian countries (e.g., South Korea, Taiwan, etc.) 


The Oscar winnings of an Asian film (e.g., Parasite). 


The popularity of Asian culture (e.g., K-Pop, BTS, etc.)",NA,NA,1,0,1,1,1,0,1,3,2,0,1,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,NA
27,27,R_1C41iSRHRcK8H7i,1,Mr Muddle,easian,"Closing the borders back in January would have changed everything, definitely would have lowered the positive cases and death rates significantly.





Investing in Personal Protective Equipment earlier and implementing social distancing practising back in January.",If U.S and all other countries around the world has been better prepared in terms of resources in dealing with such a crisis.,NA,1,1,0,1,1,0,1,3,2,2,0,2,2,0,2,0,0,0,NA,NA,NA,0,NA,NA,NA,future oriented vibe
