phase,isExpert,ResponseId,team_name,Issue,"basis (1 = Intuition, 2 = Theory, 3 = Sim, 4 = Data, 5 = Other)",basis_5_TEXT,model,theory,parameters,Other Entries (documents and/or previous submissions),numpred_4,OT/SK Type,TS/BA Type,Type Difference?,OT/SK New Type,TS/BA New Type,Type Difference 2.0,Type.Final,DataOnly,OT/SK New Comments,BA New Comments,IG ruling,OT/SK Complexity,TS/BA Complexity,Type Difference?,OT/SK New Complexity,TS/BA New Complexity,Complexity Difference 2.0,Complexity.Final,OT/SK New Comments, OT/SK Flag,TS/BA Flag, OT.Flag,OT.comment,TS/BA.comment
1,1,R_1GxdcirtZvLpqZC,WQXZ,lifesat,4,NA,see pdf,N/A,None,"From pdf: ""The Satisfaction series is modelled separately with The LATTE method is X-TIS (implied log-likelihood
is 73.01, no outliers or breaks).""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,posaffect,4,NA,see pdf,N/A,N/A,"From pdf: ""The negative and positive series are modelled jointly as a bivariate VAR with two lags (not forced).""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,negaffect,4,NA,see pdf,N/A,N/A,"From pdf: ""The negative and positive series are modelled jointly as a bivariate VAR with two lags (not forced).""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,iasian,4,NA,see pdf,N/A,N/A,"Based on the pdf, both easian and iasian were jointly modelled ""as a bivariate VAR with 1 lag of each (unrestricted)""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,easian,4,NA,see pdf,N/A,N/A,"Based on the pdf, both easian and iasian were jointly modelled ""as a bivariate VAR with 1 lag of each (unrestricted)""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,iafric,4,NA,see pdf,N/A,N/A,"Based on the pdf, both eafric and iafric were jointly modelled ""as a bivariate VAR with no lags""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,eafric,4,NA,N/A,N/A,N/A,"Based on the pdf, both eafric and iafric were jointly modelled ""as a bivariate VAR with no lags""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,igend,4,NA,N/A,N/A,N/A,"Based on the pdf, both egend and igend were jointly modelled ""as a bivariate VAR with 1 lag of each (unrestricted)""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1GxdcirtZvLpqZC,WQXZ,egend,4,NA,N/A,N/A,N/A,"Based on the pdf, both egend and igend were jointly modelled ""as a bivariate VAR with 1 lag of each (unrestricted)""",NA,3,3,0,3,3,0,3,1,,,,3,,1,2,2,0,2,,,1,,,no basis indicated
1,1,R_1eOzg1yvQRxoVr0,WeGen,lifesat,"1,2",NA,NA,"Theories of set-points, high stability, and substantial heritability. Specific events have limited and mostly short-term effects that would cancel out across regions. ","Genetic latent variables, random variables across regions. ",,2,2,2,0,2,2,0,2,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_1eOzg1yvQRxoVr0,WeGen,posaffect,"1,2",NA,NA,NA,NA,,NA,2,2,0,2,2,0,2,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_1eOzg1yvQRxoVr0,WeGen,negaffect,"1,2",NA,NA,NA,NA,,NA,2,2,0,2,2,0,2,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_1oaRGDe9cvpFKUI,Waterloo Purple Jackets,lifesat,4,NA,"We used two separate data-driven models, 1) NARX with Gaussain Process Regression, 2) LSTM with Gaussian regularization, to predict the Life Satisfaction and fuse the results of these two models to find the final estimates. 

NARX: The model is a Gaussian Process Regression that is trained on the last 38 months provided. The inputs are the previous month Life Satisfaction Score, this month’s USA average temperature, this month’s USA average precipitation, and the month number (e.g. January is 1 and December is 12). For the future 12 months predictions, the mean of the month’s temperature and precipitation over the last 120 years were taken as inputs.

LSTM: The model is a deep LSTM artificial neural network with 2 layers and 32 neurons per layer. The input consists of the life satisfaction score, US average precipitation, US average temperature, and the unemployment rate in a given month. The output of the model is the same four parameters in the next month. The model was trained on 39-month data (Jan 2017 – Mar 2020) with Gaussian noise regularization. For the prediction, the model simply takes its own outputs as inputs.

The results of both predictors were fused using a fixed interval smoother, taking into account the inverse variance of each estimator for each given month. ","NARX- A presumption on the repeatability of precipitation and average temperature across the years so that the next 12 months weather would be similar to the average of considered years ago.

LSTM: the fact that Gaussian noise is injected during training assumes that data collection error and variation follows a gaussian distribution. ","in NARX model we also used: US average monthly temperature in past 38 months, US average Precipitation in past 38 months  

in LSTM model we also used: Unemployment rate, US average precipitation, US average temperature for the past 39 months

",,3,3,3,0,3,3,0,3,0,,,,3,3,0,3,3,0,3,,,,,,
1,1,R_3Jy3sJjiPQstAk5,Turing Tesla Solutions,ideolrep,"1,3",NA,Graphs generating a time series model ,NA,NA,,NA,4,4,0,4,4,0,4,,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
1,1,R_3Jy3sJjiPQstAk5,Turing Tesla Solutions,ideoldem,"1,3",NA,Graphs generating a time series model ,NA,NA,,NA,4,4,0,4,4,0,4,,,,,2,2,0,2,2,0,2,"Although multiple parameters are indicated, they indicate that time-series were their forecasting method. Rating it a 1, as per the code book",,,,,
1,1,R_3Jy3sJjiPQstAk5,Turing Tesla Solutions,easian,"1,3",NA,NA,NA,NA,,NA,4,4,0,4,4,0,4,,,,,,,0,,,0,,Should this be a 1 based on the method (time series) they used in their prior predictions?,1,1,1,,no basis indicated
1,1,R_3Jy3sJjiPQstAk5,Turing Tesla Solutions,eafric,1,NA,NA,NA,NA,,NA,1,1,0,1,1,0,1,,,,,,1,1,1,1,0,1,Should this be a 1 based on the method (time series) they used in their prior predictions?,1,,1,,
1,1,R_3Jy3sJjiPQstAk5,Turing Tesla Solutions,polar,"1,3",NA,NA,NA,NA,"Their entries for previous domains indicate they used: ""Graphs generating a time series model""",NA,4,4,4,4,4,4,4,,,,,2,2,2,2,2,2,2,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,ideolrep,1,NA,NA,NA,"Given that the U.S. elections are fast approaching, I expected the difference between democrats and republicans to become larger toward November (because the elections will be held in November).",,1,1,1,0,1,1,0,1,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,ideoldem,1,NA,NA,NA,"Given that the U.S. elections are fast approaching, I expected the difference between democrats and republicans to become larger toward November (because the elections will be held in November).",,1,1,1,0,1,1,0,1,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,polar,1,NA,NA,NA,I considered the U.S. elections in November and the anti-racism protests after the killing of George Floyd. I expected people to become more polarized due to these events.,,2,1,1,0,1,1,0,1,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,iasian,2,NA,NA,"Negative implicit attitudes toward Asian Americans may increase in the short term, but I did not expect a significant change because implicit attitudes are harder to change compared to explicit attitudes.",My expectation was based on my prior knowledge of implicit attitudes.,,1,2,2,0,2,2,0,2,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,easian,1,NA,NA,"Unlike implicit attitudes, I expected explicit attitudes to significantly change. Explicit attitudes seem to be more flexible to change compared to implicit attitudes. This is why I expected an increase in explicit attitudes.","My expectation was based on the fact that Asian Americans were blamed for the arrival of the COVID-19 in the U.S. Because they are associated with the virus, I expected White Americans to become more prejudiced toward Asian Americans.",,1,1,1,0,1,1,0,1,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,iafric,2,NA,NA,"My expectation was based on the findings suggesting that implicit attitudes are harder to change compared to explicit attitudes. Thus, I expected that although there could be a slight change in implicit attitudes (in the negative direction), the overall (yearly) change would not be a significantly large change.",I considered the recent anti-racism protests in the U.S.,,1,2,2,0,2,2,0,2,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_3GeUUZmieHau8Rz,Tosbik,eafric,1,NA,NA,NA,I expected a decrease in the expression of explicit prejudice toward African Americans because of the anti-racism protests in the U.S. I expect White Americans to be cautious in openly expressing prejudice toward African Americans even though they will preserve their implicit prejudice.,,1,1,1,0,1,1,0,1,,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,lifesat,5,Mean and Median alternatively,"I calculated the mean and median from the dataset and used them alternatively. 



","Good old ""regression to the mean"" goes back to Dalton, and I think it often is as good as any guess. I alternated with the median just to get some variation. ",None. ,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,posaffect,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,negaffect,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,ideolrep,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,ideoldem,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,polar,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,iasian,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
1,1,R_2UgadrXE2OiyQIB,TheMets,easian,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,1,,,,1,1,0,1,1,0,1,,,,,,
