,X,ResponseId,team_name,phase,domain,DataOnly,parameters,numpred,covidcondyn,covidmeas,covidmeas_6_TEXT,MA_UniqueParam,OT_UniqueParam,MA_Comments,OT_Comments,Agreement,parameters_coded,MA_Flag,OT_Flag
1,1,R_1IgsGFMZYhVCPXU,ms607,1,lifesat,NA,"COVID-19, based on current media coverage, an intuitive adjustment was made",1,1,1,NA,1,1,,,1,1,NA,NA
2,2,R_1IgsGFMZYhVCPXU,ms607,1,posaffect,NA,COVID-19,1,1,1,NA,1,1,,,1,1,NA,NA
3,3,R_1IgsGFMZYhVCPXU,ms607,1,negaffect,NA,COVID-19,1,1,1,NA,1,1,,,1,1,NA,NA
4,4,R_1IgsGFMZYhVCPXU,ms607,1,polar,NA,COVID-19,1,1,1,NA,1,1,,,1,1,NA,NA
5,5,R_1IgsGFMZYhVCPXU,ms607,1,iasian,NA,COVID-19,1,1,1,NA,1,1,,,1,1,NA,NA
6,6,R_3Opn01NyerOFmAe,Forecasting Team 1,1,lifesat,NA,none,NA,NA,NA,NA,0,0,,,1,0,NA,NA
7,7,R_3D5hhCqsvLNisbo,ab,1,ideolrep,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
8,8,R_3D5hhCqsvLNisbo,ab,1,ideoldem,NA,NA,NA,NA,NA,NA,0,0,,,1,0,NA,NA
9,9,R_2UgadrXE2OiyQIB,TheMets,1,lifesat,1,None. ,NA,NA,NA,NA,0,0,,,1,0,NA,NA
10,10,R_2UgadrXE2OiyQIB,TheMets,1,posaffect,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
11,11,R_2UgadrXE2OiyQIB,TheMets,1,negaffect,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
12,12,R_2UgadrXE2OiyQIB,TheMets,1,ideolrep,1,See answers on Life Satistfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
13,13,R_2UgadrXE2OiyQIB,TheMets,1,ideoldem,1,See answers on Life Satistfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
14,14,R_2UgadrXE2OiyQIB,TheMets,1,polar,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
15,15,R_2UgadrXE2OiyQIB,TheMets,1,iasian,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
16,16,R_2UgadrXE2OiyQIB,TheMets,1,easian,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
17,17,R_2UgadrXE2OiyQIB,TheMets,1,iafric,1,See answers on Life Satisfaction,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
18,18,R_2UgadrXE2OiyQIB,TheMets,1,eafric,1,See answers for Life Satisfaction ,NA,NA,NA,NA,0,0,,"Answer to life satisfaction: ""None.""",1,0,NA,NA
