"","Duration..in.seconds.","ResponseId","phase","team_name","domain","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","Month.13","Month.14","Month.15","Month.16","Month.17","Month.18","confidence","subexpert","pub","basis","basis_5_TEXT","model","theory","parameters","numpred","covidcondyn","covidmeas","covidmeas_6_TEXT","coviddesc","covidest_1","covidest_2","covidest_3","covidest_4","covidest_5","covidest_6","covidest_7","covidest_8","covidest_9","covidest_10","covidest_11","covidest_12","datatrain","counterfact","counter_imp","counter_yn","othercounter","othercountim","Method","isExpert","ResponseId.old","revised","team_size","team_expertise","team_size.coded","team_discipline.coded","team_discipline.missingdat","previous_tournament.coded","previous_tournament.missingdat","Age","Sex","Occupation","Ethnicity","Education","Religion","Religion_Other","Politics_1","Country.of.Residence","Residential.Area","Income","time_upload","Method.coded","Method.complex","DataOnly","mean_error_w1","root_mean_sqr_error_w1","mean_abs_error_w1","mean_percent_error_w1","mean_abs_percent_error_w1","MASE1_w1","RMSE_cutoff_Naive_linear","RMSE_cutoff_Naive_rwf","compare_to_naive_linear","compare_to_naive_rwf","MASE_cutoff_Naive_linear","MASE_cutoff_Naive_rwf","compare_to_naive_linear_MASE","compare_to_naive_rwf_MASE","time_spent","mean_error_covid","root_mean_sqr_error_covid","mean_abs_error_covid","mean_percent_error_covid","mean_abs_percent_error_covid","MASE1_covid","mean_error_w1_lastmonths","root_mean_sqr_error_w1_lastmonths","mean_abs_error_w1_lastmonths","mean_percent_error_w1_lastmonths","mean_abs_percent_error_w1_lastmonths","MASE1_w1_lastmonths","mean_error_w2","root_mean_sqr_error_w2","mean_abs_error_w2","mean_percent_error_w2","mean_abs_percent_error_w2","MASE1_w2","RMSE_cutoff_Naive_linear_w2","RMSE_cutoff_Naive_rwf_w2","compare_to_naive_linear_w2","compare_to_naive_rwf_w2","MASE_cutoff_Naive_linear_w2","MASE_cutoff_Naive_rwf_w2","compare_to_naive_linear_MASE_w2","compare_to_naive_rwf_MASE_w2","team_gender","team_education","team_Age","non_US","CounterFactual_Presence_Final","COVID.Final","Onus.Final","counterNum","parameters_coded","TournamentStart","ForecastisUpdated"
"1",71637,"R_1IgsGFMZYhVCPXU",1,"ms607","lifesat",6.24,6.26,6.22,6.24,6.27,6.26,6.28,6.32,6.3,6.35,6.36,6.34,NA,NA,NA,NA,NA,NA,3,4,2,"1,2",NA,NA,"Mean and confidence interval of historical time series","COVID-19, based on current media coverage, an intuitive adjustment was made",1,1,1,NA,"it will decrease life satisfaction",55000,65000,68000,70000,72000,73000,73500,74000,75000,75500,76000,76500,NA,"confinement",6,2,NA,NA,"Intuition/Theory",1,"R_1IgsGFMZYhVCPXU",1,1,"Forecasting researcher",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,0.0345839510833335,0.0592540148474539,0.0504154722499999,0.545228454107854,0.797583784541368,1.5858179658239,0,1,"Below Naive linear","Above Naive rwf",0,1,"Below Naive linear","Above Naive rwf",NA,239261.083333333,287848.22297451,239261.083333333,70.2395709008328,70.2395709008328,10.8275998612201,0.00795878233333343,0.032421035995835,0.0254373529999999,0.12509676082098,0.401667598164835,0.800131578464078,0.00795878233333343,0.032421035995835,0.0254373529999999,0.12509676082098,0.401667598164835,0.761173953582119,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,41,100,1,0,0,1,1,"May",NA
"2",71637,"R_1IgsGFMZYhVCPXU",1,"ms607","posaffect",-1.2,-1.1,-1.3,-0.97,-0.95,-1.1,-0.95,-1.2,-0.9,-1.1,-0.8,-1.2,NA,NA,NA,NA,NA,NA,2,2,2,"1",NA,NA,"na","COVID-19",1,1,1,NA,"increase usage of negative words in the next few months, while positive words will remain relatively stable",55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,"confinement",6,2,NA,NA,"Intuition/Theory",1,"R_1IgsGFMZYhVCPXU",1,1,"Forecasting researcher",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-0.318807944083333,0.374891931914503,0.329030296916667,22.2392408420276,23.1369890740551,1.11318112986136,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,237927.75,286562.582698643,237927.75,69.7908102872929,69.7908102872929,10.7672607554456,-0.267585834,0.347201449877608,0.288030539666667,19.6298735854433,21.4253700494983,0.974470024752535,-0.267585834,0.347201449877608,0.288030539666667,19.6298735854433,21.4253700494983,1.07306439952408,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,41,100,1,0,0,1,1,"May",NA
"3",71637,"R_1IgsGFMZYhVCPXU",1,"ms607","negaffect",0.77,0.86,0.8,0.91,1.03,0.9,0.96,0.99,0.87,0.96,1.06,0.95,NA,NA,NA,NA,NA,NA,2,2,2,"1",NA,NA,"na","COVID-19",1,1,1,NA,"increase usage of negative words in the next few months, while positive words will remain relatively stable",55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,"confinement",6,2,NA,NA,"Intuition/Theory",1,"R_1IgsGFMZYhVCPXU",1,1,"Forecasting researcher",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.898924706,0.976518906698282,0.898924706,46.7916521149028,46.7916521149028,4.57813722368781,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,237927.75,286562.582698643,237927.75,69.7908102872929,69.7908102872929,10.7672607554456,0.693375399333333,0.804772786560841,0.693375399333333,38.25687386811,38.25687386811,3.53129433921392,0.693375399333333,0.804772786560841,0.693375399333333,38.25687386811,38.25687386811,3.44083020410981,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,41,100,1,0,0,1,1,"May",NA
"4",71637,"R_1IgsGFMZYhVCPXU",1,"ms607","polar",75,80,77,79,81,75,82,85,80,77,83,85,NA,NA,NA,NA,NA,NA,2,2,2,"1",NA,NA,NA,"COVID-19",1,1,1,NA,"decrease polarization at first, then increase",55000,65000,68000,72000,75000,76000,76500,77000,77500,78000,78500,79000,NA,"confinement",5,2,NA,NA,"Intuition/Theory",1,"R_1IgsGFMZYhVCPXU",1,1,"Forecasting researcher",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4.79166666666667,6.90862986898753,5.79166666666667,5.49890731511552,6.72355900830804,2.82226155815448,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,237261.083333333,285823.655079346,237261.083333333,69.5956799441171,69.5956799441171,10.7370912025584,1.91666666666667,4.26712237149737,3.91666666666667,2.20853745571435,4.65784084209939,1.90857975875195,1.91666666666667,4.26712237149737,3.91666666666667,2.20853745571435,4.65784084209939,1.68606505123547,0,0,"Below Naive linear","Below Naive rwf",0,0,"Below Naive linear","Below Naive rwf",0,0,41,100,1,0,0,1,1,"May",NA
"5",71637,"R_1IgsGFMZYhVCPXU",1,"ms607","iasian",0.6,0.55,0.48,0.52,0.35,0.4,0.52,0.41,0.49,0.39,0.49,0.52,NA,NA,NA,NA,NA,NA,3,2,2,"1",NA,NA,NA,"COVID-19",1,1,1,NA,"increase score temporarily",55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,"china communicating spread of the virus more timely and with more transparency",7,2,NA,NA,"Intuition/Theory",1,"R_1IgsGFMZYhVCPXU",1,1,"Forecasting researcher",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-0.128502037416667,0.147137028663396,0.128502037416667,-37.0371733681711,37.0371733681711,4.96606409135479,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,237927.75,286562.582698643,237927.75,69.7908102872929,69.7908102872929,10.7672607554456,-0.1203201305,0.131348740332697,0.1203201305,-34.5375127687992,34.5375127687992,4.64986774961184,-0.1203201305,0.131348740332697,0.1203201305,-34.5375127687992,34.5375127687992,4.99668676163931,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,41,100,1,2,1,1,1,"May",NA
"6",207,"R_3Opn01NyerOFmAe",1,"Forecasting Team 1","lifesat",6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,4,5,2,"1,2",NA,NA,"hedonic adaptation","none",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",1,2,NA,NA,"Intuition/Theory",1,"R_3Opn01NyerOFmAe",0,1,"",1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,-0.17874938225,0.182024899488712,0.17874938225,-2.83083159431106,2.83083159431106,5.62255928787763,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,NA,NA,NA,NA,NA,NA,-0.167041217666667,0.167832901626518,0.167041217666667,-2.63832927301441,2.63832927301441,5.25427913667715,-0.167041217666667,0.167832901626518,0.167041217666667,-2.63832927301441,2.63832927301441,4.99845341858127,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,34,0,0,0,0,0,0,"May",NA
"7",94983,"R_3D5hhCqsvLNisbo",1,"ab","ideolrep",40,40,40,40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,1,1,2,"5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data-Driven",1,"R_3D5hhCqsvLNisbo",0,1,NA,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60345136363636,3.39565339136515,2.60345136363636,5.88083913076001,5.88083913076001,2.67313790283618,0,0,"Below Naive linear","Below Naive rwf",0,0,"Below Naive linear","Below Naive rwf",NA,NA,NA,NA,NA,NA,NA,3.401428572,4.49237562727003,3.401428572,7.42756425624275,7.42756425624275,3.49247455381815,3.401428572,4.49237562727003,3.401428572,7.42756425624275,15.9986489242033,3.34708638057588,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,NA,100,0,0,0,0,0,"May",NA
"8",94983,"R_3D5hhCqsvLNisbo",1,"ab","ideoldem",42,42,42,42,42,42,42,42,42,42,42,42,NA,NA,NA,NA,NA,NA,1,1,2,"5",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Data-Driven",1,"R_3D5hhCqsvLNisbo",0,1,NA,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15061097727273,5.48468274520083,5.15061097727273,10.7804910611133,10.7804910611133,4.84855556099017,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,NA,NA,NA,NA,NA,NA,3.295714286,3.38822842177478,3.295714286,7.24784625742817,7.24784625742817,3.10243850668008,3.295714286,3.38822842177478,3.295714286,7.24784625742817,15.9986489242033,3.10167395942347,0,0,"Below Naive linear","Below Naive rwf",0,0,"Below Naive linear","Below Naive rwf",0,0,NA,100,0,0,0,0,0,"May",NA
"9",2790,"R_2UgadrXE2OiyQIB",1,"TheMets","lifesat",6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,NA,NA,NA,NA,NA,NA,3,2,2,"5","Mean and Median alternatively","I calculated the mean and median from the dataset and used them alternatively. 

","Good old ""regression to the mean"" goes back to Dalton, and I think it often is as good as any guess. I alternated with the median just to get some variation. ","None. ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"None. ",NA,2,NA,NA,"Data-Driven",1,"R_2UgadrXE2OiyQIB",0,1,"",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.0532493822499998,0.0664261416879096,0.0532493822499998,-0.845709150254026,0.845709150254026,1.67495856475041,0,1,"Below Naive linear","Above Naive rwf",0,1,"Below Naive linear","Above Naive rwf",NA,NA,NA,NA,NA,NA,NA,-0.0415412176666664,0.0473682891539954,0.0415412176666664,-0.656741448886672,0.656741448886672,1.30667841354994,-0.0415412176666664,0.0473682891539954,0.0415412176666664,-0.656741448886672,0.656741448886672,1.24305751812903,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,32,100,0,0,0,0,0,"May",NA
"10",2790,"R_2UgadrXE2OiyQIB",1,"TheMets","posaffect",-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,NA,NA,NA,NA,NA,NA,3,2,2,"5","Mean-Median regression","See answers on Life Satisfaction","See answers on Life Satisfaction","See answers on Life Satisfaction",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"See answers on Life Satisfaction",NA,2,NA,NA,"Data-Driven",1,"R_2UgadrXE2OiyQIB",0,1,"",1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.41047461075,0.434780691189924,0.41047461075,28.8858957253372,28.8858957253372,1.38872497534723,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",NA,NA,NA,NA,NA,NA,NA,-0.320085834,0.346026590596416,0.320085834,23.9853247070881,23.9853247070881,1.08292006445528,-0.320085834,0.346026590596416,0.320085834,23.9853247070881,23.9853247070881,1.19248713575605,1,1,"Above Naive linear","Above Naive rwf",1,1,"Above Naive linear","Above Naive rwf",0,0,32,100,0,0,0,0,0,"May",NA
