Column Name,Academic or Prolific,phase,Values,Description
Duration..in.seconds.,Both,Both,seconds,Amount of time (in seconds) between start of and end of survey
ResponseId,Both,Both,,"Unique identifier for each team's submissions, different by phase but shared by domains within each phase"
team_name,Academic,Both,text,"unique team name for each team, shared across domains and phases"
domain,Both,Both,"lifesat = life satisfaction
negaffect = negative affect
posaffect = positive affect
polar = political polarization
ideoldem = ideological preference - democrat
ideolrep = ideological preference - republican
iasian = implicit Asian-American bias
easian = explicit Asian-American bias
iafric = implicit African-American bias
eafric = explicit African-American bias
igend = implicit gender-career bias
egend = explicit gender-career bias","Which domain (e.g. life satisfaction, polarization) the submission on this row is for. Values are short form equivalent of each domain"
Month.1,Both,phase 1,Varies by domain,Prediction for month 1 (May 2020)
Month.2,Both,phase 1,Varies by domain,Prediction for month 2 (June 2020)
Month.3,Both,phase 1,Varies by domain,Prediction for month 3 (July 2020)
Month.4,Both,phase 1,Varies by domain,Prediction for month 4 (August 2020)
Month.5,Both,phase 1,Varies by domain,Prediction for month 5 (September 2020)
Month.6,Both,phase 1,Varies by domain,Prediction for month 6 (October 2020)
Month.7,Both,Both,Varies by domain,Prediction for month 7 (November 2020)
Month.8,Both,Both,Varies by domain,Prediction for month 8 (December 2020)
Month.9,Both,Both,Varies by domain,Prediction for month 9 (January 2021)
Month.10,Both,Both,Varies by domain,Prediction for month 10 (February 2021)
Month.11,Both,Both,Varies by domain,Prediction for month 11 (March 2021)
Month.12,Both,Both,Varies by domain,Prediction for month 12 (April 2021)
Month.13,Academic,phase 2,Varies by domain,Prediction for month 13 (May 2021)
Month.14,Academic,phase 2,Varies by domain,Prediction for month 14 (June 2021)
Month.15,Academic,phase 2,Varies by domain,Prediction for month 15 (July 2021)
Month.16,Academic,phase 2,Varies by domain,Prediction for month 16 (August 2021)
Month.17,Academic,phase 2,Varies by domain,Prediction for month 17 (September 2021)
Month.18,Academic,phase 2,Varies by domain,Prediction for month 18 (October 2021)
confidence,Both,Both,1 (Not at all) to 7(Extremely),confidence in forecast for a given domain
subexpert,Academic,Both,1 (Strongly Disagree) to 7 (Strongly Agree,"To what extent do you agree with the following statement: ""My team has strong expertise on the research topic of Life Satisfaction""."
pub,Academic,Both,"1 = Yes, 2 = No",Whether any team members have publications related to the predicted domain
