ResponseId,team_name,domain,basis,basis_5_TEXT,model,theory,parameters,OM_Data_Received,VK_Data_Received,DR_Agreement,justification_dataReceived,OM_Theoretical Insights,VK_Theoretical Insights,TI_Agreement,justification_theoreticalInsight,OM_External Events,VK_External Events,EE_Agreement,justification_externalEvent,Comments
R_Y37N3faBVbgVFSx,1859,igend,4,NA,"I took the average score of all previous months available (i.e., predicted November score = average of all November scores in the data set).",-,-,1,1,1,1,0,0,1,0,0,0,1,0,
R_Y37N3faBVbgVFSx,1859,egend,4,NA,"I took the average score of all previous months available (i.e., predicted November score = average of all November scores in the data set).",-,None,1,1,1,1,0,0,1,0,0,0,1,0,
R_1JWmrGXn99bxXrT,Sociology,lifesat,1,NA,NA,My predictions were simple and based on the idea that the past is a good prediction of the future. I took the current satisfaction during the pandemic and predicted that it would slowly shift back to the previous mean satisfaction prior to the pandemic.,"No other variables were used.  Essentially, I took the current satisfaction and predicted that it would slowly shift back to the previous mean satisfaction.",0,1,0,0,0,0,1,0,0,0,1,0,
R_1JWmrGXn99bxXrT,Sociology,ideoldem,1,NA,NA,"The past is a good predictor of the future, and the ""shock"" of the pandemic was already baked into the data. I basically predicted that the current trends would continue with slight increased support for Democrats. I suspect they won't be able to handle things worse than the Republicans did, and I assume some people will be happy with how they handle the pandemic. However, people are mostly fairly ""locked in"" so I doubt that there will be drastic movement.","No other variables were used, though I did take into account the fact that there will be a shift from a Republican to a Democratic president, but that just led me to predict very slight increased support for Democrats.",0,1,0,0,0,0,1,0,1,1,1,1,
R_1JWmrGXn99bxXrT,Sociology,ideolrep,1,NA,NA,"The past is a good predictor of the future, and the ""shock"" of the pandemic was already baked into the data. I basically predicted that the current trends would continue with slight increased support for Democrats. I suspect they won't be able to handle things worse than the Republicans did, and I assume some people will be happy with how they handle the pandemic. However, people are mostly fairly ""locked in"" so I doubt that there will be drastic movement.","No other variables were used, though I did take into account the fact that there will be a shift from a Republican to a Democratic president, but that just led me to predict very slight increased support for Democrats.",0,1,0,0,0,0,1,0,1,1,1,1,
R_1JWmrGXn99bxXrT,Sociology,igend,1,NA,NA,"I basically just predicted that the level of gender-career bias present during the pandemic will continue. Absent other shocks there isn't really a reason to expect big change, though I guess it is possible that there could be slight declines in gender bias over time but I don't expect it to be fast or substantial enough for me to have predicted substantial decline over just the next year.","I guess I did take into account what I know about implicit bias and gender frames more generally, and that they probably won't change all that much.",0,1,0,0,0,0,1,0,0,0,1,0,
R_1JWmrGXn99bxXrT,Sociology,egend,1,NA,NA,"I basically predicted that what we've seen during the last while will continue into the future. If the pandemic hasn't led to a big change in these numbers, I doubt something else will. We might hope for a slight decline in bias over time, but it might take longer than the year we're providing predictions for here.",I have not taken other parameters into account.,1,1,1,1,0,0,1,0,0,0,1,0,
R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,iasian,"1,2",NA,NA,Regression to the mean,Updating my estimates based on the mean,1,1,1,1,0,0,1,0,0,0,1,0,
R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,easian,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,1,1,0,0,1,0,0,0,1,0,
R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,iafric,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,1,1,0,0,1,0,0,0,1,0,
R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,eafric,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,1,1,0,0,1,0,0,0,1,0,
R_VW6L7msoFtfLVqF,Renegade,lifesat,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_VW6L7msoFtfLVqF,Renegade,iasian,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_1gcjcwcFt7dVhqG,BlackSwan,lifesat,"1,4",NA,"I updated my previous prediction by comparing them with the actual data during the past 6 months. I estimated predictions for the next 12 months by looking at the actual data during the past 6 months. Because I am trained in psychology, I also estimated that life-satisfaction does not change very quickly. ",Research on life-satisfaction suggests that life-satisfaction remains relatively stable over time.,none,1,1,1,1,0,0,1,0,0,0,1,0,
R_1gcjcwcFt7dVhqG,BlackSwan,negaffect,"1,4",NA,none,I used the past data on affect on social media. Also I have been following the political discussions online and on Twitter and to me it does not seem that outrage on Twitter and other social media is not on the way to decline. ,none,1,1,1,1,0,0,1,0,1,1,1,1,
R_1gcjcwcFt7dVhqG,BlackSwan,posaffect,"1,4",NA,none,I used the past data on affect on social media. Also I have been following the political discussions online and on Twitter and to me it does not seem that outrage on Twitter and other social media is not on the way to decline. ,none,1,1,1,1,0,0,1,0,1,1,1,1,
R_1gcjcwcFt7dVhqG,BlackSwan,ideoldem,"1,4",NA,none,"In past elections, support for the Winning Party often declined after the election. Presumably because they usually do not manage to hold up to expectations.",none,0,0,1,0,0,0,1,0,0,1,0,0,
R_1gcjcwcFt7dVhqG,BlackSwan,ideolrep,"1,4",NA,none,"In past elections, support for the Winning Party often declined after the election. Presumably because they usually do not manage to hold up to expectations.",none,0,0,1,0,0,0,1,0,0,1,0,0,
R_1gcjcwcFt7dVhqG,BlackSwan,polar,"1,4",NA,I compared my old estimates to the actual data during the past 6 and updated my estimates on the Basis of that data. I used this approach for every variable.,"None, I just follow the political debates in the U.S. and I currently do not see what the Democrats are doing to unite the Country. I find the rethoric on the radical left still very devisive. ",none,1,1,1,1,0,0,1,0,1,1,1,1,
R_1gcjcwcFt7dVhqG,BlackSwan,iasian,"1,2,4",NA,"Research on implicit attitudes suggests that These attitudes are difficult to change. Therefore, I do not expect any rapid or substantial changens",Research on implicit attitudes suggests that implicit attitudes are difficult to change.,-,0,0,1,0,0,0,1,0,0,0,1,0,
R_1gcjcwcFt7dVhqG,BlackSwan,easian,"1,4",NA,I compared my old estimates to the actual data during the past 6 and updated my estimates on the Basis of that data. I used this approach for every variable.,I have been following the political development in the U.S. and it seems to me that explicitly expressing any biases toward any social group (say other that White men) is not socially acceptable. ,-,1,1,1,1,0,0,1,0,1,1,1,1,
R_1gcjcwcFt7dVhqG,BlackSwan,iafric,"1,2,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates. ,Research on implicit attitudes suggest that implicit attitudes are difficult to change. I therefore did not expect any huge changes. ,-,1,1,1,1,0,0,1,0,0,0,1,0,
R_1gcjcwcFt7dVhqG,BlackSwan,eafric,"1,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates. ,"Following discussions on Twitter, it seems to me that expressing negative attitudes toward african americans is even less socially acceptable than before the death of George Floyd.",-,1,1,1,1,0,0,1,0,1,1,1,1,
R_1gcjcwcFt7dVhqG,BlackSwan,igend,"1,2,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates. ,"Research suggests that implicit attitudes are difficult (but not impossible) to change. Because of this and because of more flexible gender roles in Society, I predict a slight decrease in gender-Career bias.",-,1,1,1,1,0,0,1,0,0,0,1,0,
R_1gcjcwcFt7dVhqG,BlackSwan,egend,"1,4",NA,I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates. ,Gender roles did change in the past decades and seem continue to change. I therefore predict a slight decrease in explicit gender-Career bias.,-,1,1,1,1,0,0,1,0,0,0,1,0,
R_2Uhk1Yuj0cBFlT5,Mr Muddle,easian,"1,2",NA,NA,"I based my estimations on social psychological concepts about cognitive heuristics (e.g., we trust what leaders say because we think they are the experts and the ""saviours"" and so if they say Chinese are to be blamed or if they stop saying that, that will have huge repercussions on how people will think and behave) and how people deal with uncertainty (e.g., if people are uncertain about something, say the current pandemic, they will want to gain a sense of control by trying to attribute it to something concrete, such as to blame Asian-Americans and if the pandemic gets eradicated somewhat next year, that uncertainly will diminish together with the need to seek an imaginary sense of control).  ","COVID-19 case numbers and political leadership change. We think the case numbers will make a difference because if the numbers are going up, people get more anxious and uncertain and will try to blame Asian Americans more and if this desire will diminish once the numbers fall. The same can be said for leadership changes as Trump, being a vocal critic of China, steps down, there will be less racist comments made by a world leader about COVID-19 and this will also in turn diminish the notion in people's minds about attributing blame to the Asian American community. ",0,0,1,0,0,0,1,0,1,1,1,1,
R_DLVIGmn1pzs32P7,C-Team,lifesat,"1,4",NA,Geometric mean of the known datapoints provided ,"Our forecast is based on the general assumption that the many factors that predict the outcome variable are not known. Therefore, we opted for a minimalist model that summarizes the known datapoints and no additional assumptions. ","Expert forecasts on COVID (e.g., the IHME forecasts), even forecasts made for the same day, have been wrong by a lot. Thus, we are not incorporating additional assumptions on COVID or other variables into our model. All the given datapoints are summarized using their geometric mean.",1,1,1,1,0,0,1,0,0,0,1,0,
R_31ioPcwrSSwt3Oa,Tosbik,ideoldem,1,NA,NA,NA,I took into account the fact that the US presidential elections are now over.,0,0,1,0,0,0,1,0,1,1,1,1,
R_31ioPcwrSSwt3Oa,Tosbik,ideolrep,1,NA,NA,NA,I took into account the fact that the US presidential elections are now over.,0,0,1,0,0,0,1,0,1,1,1,1,
R_31ioPcwrSSwt3Oa,Tosbik,polar,1,NA,NA,NA,My estimate was based on the fact that the US presidential elections are now over.,0,0,1,0,0,0,1,0,1,1,1,1,
R_31ioPcwrSSwt3Oa,Tosbik,iasian,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_31ioPcwrSSwt3Oa,Tosbik,easian,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_31ioPcwrSSwt3Oa,Tosbik,iafric,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_31ioPcwrSSwt3Oa,Tosbik,eafric,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_85MoCqRRQ2G0h1f,HSCNAC,polar,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_85MoCqRRQ2G0h1f,HSCNAC,iafric,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
R_T8hmkmxRvHmXZBv,CheeseCake,lifesat,"1,2",NA,NA,social-societal factors that influence life satisfaction ,COVID-19; economy; political polarization ,0,0,1,0,0,0,1,0,1,1,1,1,
R_T8hmkmxRvHmXZBv,CheeseCake,negaffect,1,NA,NA,NA,covid-19; election; political upheaval; racial conflict,0,0,1,0,0,0,1,0,1,1,1,1,
R_T8hmkmxRvHmXZBv,CheeseCake,posaffect,1,NA,NA,NA,covid-19; election; political upheaval; racial conflict,0,0,1,0,0,0,1,0,1,1,1,1,
R_T8hmkmxRvHmXZBv,CheeseCake,easian,"1,2",NA,NA,historical factors; model minority; COVID-19 related discrimination,historical factors; model minority; COVID-19 related discrimination,0,0,1,0,0,0,1,0,1,1,1,1,
R_332xVIyLuh4J5SG,polarization-2020CO,lifesat,1,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,1,0,
