,ResponseId,ResponseId.old,team_name,domain,basis,basis_5_TEXT,model,theory,parameters,OM_Data_Received,VK_Data_Received,DR_Agreement,dataReceived_Final,OM_Theoretical Insights,VK_Theoretical Insights,TI_Agreement,theoreticalInsight_Final,OM_External Events,VK_External Events,EE_Agreement,externalEvent_Final,OM_comments
1,R_Y37N3faBVbgVFSx,R_Y37N3faBVbgVFSx,1859,igend,4,NA,"I took the average score of all previous months available (i.e., predicted November score = average of all November scores in the data set).",-,-,1,1,0,1,0,0,0,0,0,0,0,0,
2,R_Y37N3faBVbgVFSx,R_Y37N3faBVbgVFSx,1859,egend,4,NA,"I took the average score of all previous months available (i.e., predicted November score = average of all November scores in the data set).",-,None,1,1,0,1,0,0,0,0,0,0,0,0,
3,R_1JWmrGXn99bxXrT,R_1JWmrGXn99bxXrT,Sociology,lifesat,1,NA,NA,My predictions were simple and based on the idea that the past is a good prediction of the future. I took the current satisfaction during the pandemic and predicted that it would slowly shift back to the previous mean satisfaction prior to the pandemic.,"No other variables were used.  Essentially, I took the current satisfaction and predicted that it would slowly shift back to the previous mean satisfaction.",0,1,1,0,0,0,0,0,0,0,0,0,
4,R_1JWmrGXn99bxXrT,R_1JWmrGXn99bxXrT,Sociology,ideoldem,1,NA,NA,"The past is a good predictor of the future, and the ""shock"" of the pandemic was already baked into the data. I basically predicted that the current trends would continue with slight increased support for Democrats. I suspect they won't be able to handle things worse than the Republicans did, and I assume some people will be happy with how they handle the pandemic. However, people are mostly fairly ""locked in"" so I doubt that there will be drastic movement.","No other variables were used, though I did take into account the fact that there will be a shift from a Republican to a Democratic president, but that just led me to predict very slight increased support for Democrats.",0,1,1,0,0,0,0,0,1,1,0,1,
5,R_1JWmrGXn99bxXrT,R_1JWmrGXn99bxXrT,Sociology,ideolrep,1,NA,NA,"The past is a good predictor of the future, and the ""shock"" of the pandemic was already baked into the data. I basically predicted that the current trends would continue with slight increased support for Democrats. I suspect they won't be able to handle things worse than the Republicans did, and I assume some people will be happy with how they handle the pandemic. However, people are mostly fairly ""locked in"" so I doubt that there will be drastic movement.","No other variables were used, though I did take into account the fact that there will be a shift from a Republican to a Democratic president, but that just led me to predict very slight increased support for Democrats.",0,1,1,0,0,0,0,0,1,1,0,1,
6,R_1JWmrGXn99bxXrT,R_1JWmrGXn99bxXrT,Sociology,igend,1,NA,NA,"I basically just predicted that the level of gender-career bias present during the pandemic will continue. Absent other shocks there isn't really a reason to expect big change, though I guess it is possible that there could be slight declines in gender bias over time but I don't expect it to be fast or substantial enough for me to have predicted substantial decline over just the next year.","I guess I did take into account what I know about implicit bias and gender frames more generally, and that they probably won't change all that much.",0,1,1,0,0,0,0,0,0,0,0,0,
7,R_1JWmrGXn99bxXrT,R_1JWmrGXn99bxXrT,Sociology,egend,1,NA,NA,"I basically predicted that what we've seen during the last while will continue into the future. If the pandemic hasn't led to a big change in these numbers, I doubt something else will. We might hope for a slight decline in bias over time, but it might take longer than the year we're providing predictions for here.",I have not taken other parameters into account.,1,1,0,1,0,0,0,0,0,0,0,0,
8,R_3fq2fXmmzqnpCKO,R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,iasian,"1,2",NA,NA,Regression to the mean,Updating my estimates based on the mean,1,1,0,1,0,0,0,0,0,0,0,0,
9,R_3fq2fXmmzqnpCKO,R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,easian,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,0,1,0,0,0,0,0,0,0,0,
10,R_3fq2fXmmzqnpCKO,R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,iafric,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,0,1,0,0,0,0,0,0,0,0,
11,R_3fq2fXmmzqnpCKO,R_3fq2fXmmzqnpCKO,Cynical Belief in the Inexorable Crush of the Wheel,eafric,"1,2",NA,NA,Regression to the mean,Updating based on the mean,1,1,0,1,0,0,0,0,0,0,0,0,
12,R_VW6L7msoFtfLVqF,R_VW6L7msoFtfLVqF,Renegade,lifesat,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
13,R_VW6L7msoFtfLVqF,R_VW6L7msoFtfLVqF,Renegade,iasian,1,NA,NA,NA,NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,
14,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,lifesat,"1,4",NA,"I updated my previous prediction by comparing them with the actual data during the past 6 months. I estimated predictions for the next 12 months by looking at the actual data during the past 6 months. Because I am trained in psychology, I also estimated that life-satisfaction does not change very quickly.",Research on life-satisfaction suggests that life-satisfaction remains relatively stable over time.,none,1,1,0,1,0,0,0,0,0,0,0,0,
15,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,negaffect,"1,4",NA,none,I used the past data on affect on social media. Also I have been following the political discussions online and on Twitter and to me it does not seem that outrage on Twitter and other social media is not on the way to decline.,none,1,1,0,1,0,0,0,0,1,1,0,1,
16,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,posaffect,"1,4",NA,none,I used the past data on affect on social media. Also I have been following the political discussions online and on Twitter and to me it does not seem that outrage on Twitter and other social media is not on the way to decline.,none,1,1,0,1,0,0,0,0,1,1,0,1,
17,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,ideoldem,"1,4",NA,none,"In past elections, support for the Winning Party often declined after the election. Presumably because they usually do not manage to hold up to expectations.",none,0,0,0,0,0,0,0,0,0,1,1,0,
18,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,ideolrep,"1,4",NA,none,"In past elections, support for the Winning Party often declined after the election. Presumably because they usually do not manage to hold up to expectations.",none,0,0,0,0,0,0,0,0,0,1,1,0,
19,R_1gcjcwcFt7dVhqG,R_1gcjcwcFt7dVhqG,BlackSwan,polar,"1,4",NA,I compared my old estimates to the actual data during the past 6 and updated my estimates on the Basis of that data. I used this approach for every variable.,"None, I just follow the political debates in the U.S. and I currently do not see what the Democrats are doing to unite the Country. I find the rethoric on the radical left still very devisive.",none,1,1,0,1,0,0,0,0,1,1,0,1,
