"","team_name","team_size.coded","team_discipline.coded","team_discipline.missingdat","previous_tournament.coded","previous_tournament.missingdat","team_gender","team_education","team_Age","non_US"
"1","1859",1,2,2,0,0,0,0,29,100
"2","4 chimps with a dart",4,4,4,0,0,0,75,30.5,100
"3","5casters",5,4,4,0,0,80,80,24,100
"4","A Woman Scientist",1,1,1,0,0,100,100,25,100
"5","ab",1,2,2,0,0,0,0,NA,100
"6","AbCdEfG",1,2,2,0,0,0,0,36,100
"7","Abracadabra",3,4,4,0,0,0,0,34.5,100
"8","adamman",1,2,2,0,0,0,0,39,100
"9","AhamBrahamasmi",1,1,1,0,0,0,100,NA,100
"10","Average Joes",3,1,1,0,0,0,0,39,100
"11","BlackSwan",1,2,2,0,0,0,0,45,100
"12","blue duiker",1,2,2,0,0,100,100,41,0
"13","Bluebirds",2,4,4,0,0,0,0,47.5,100
"14","Bordeaux",1,3,3,0,0,0,0,37,100
"15","Broken Mirror Neurons",2,4,4,1,1,50,100,28.5,0
"16","BRTWN",5,4,4,1,1,20,0,43.5,80
"17","CantabRoyal",1,2,2,0,0,0,0,NA,0
"18","CarrNCUSA",1,2,2,0,0,0,100,28,0
"19","Cascade Institute",1,2,2,0,0,0,0,NA,100
"20","CheeseCake",1,2,2,0,0,100,0,52,0
"21","Comet",1,3,3,0,0,0,100,47,100
"22","Compassionate Values",1,1,1,0,0,0,0,41,0
"23","CoronaSky",1,2,2,0,0,0,0,34,0
"24","CPMY",1,1,1,0,0,0,100,24,100
"25","C-Team",2,2,2,1,1,0,0,41.5,50
"26","Cynical Belief in the Inexorable Crush of the Wheel",1,2,2,0,0,0,0,37,100
"27","datamodelers",2,1,1,0,0,0,50,44.5,0
"28","Dog's Sense",1,3,3,0,0,0,0,NA,0
"29","Dragon",1,2,2,0,0,0,0,41,100
"30","DrT",1,2,2,0,0,0,0,50,100
"31","Duckling Power",1,2,2,0,0,0,0,36,0
"32","Dutch East India Company",2,2,NA,1,NA,0,0,52,0
"33","Erebuni",2,4,4,0,0,50,100,25.5,100
"34","fearfulastra",1,3,3,0,0,0,100,32,0
"35","FMTeam",2,4,4,1,1,0,100,22.5,100
"36","Forecasting Team 1",1,2,2,0,0,0,0,34,0
"37","ForecastSnorecast",1,2,2,0,0,0,0,38,0
"38","ForeverJung90",7,2,2,0,0,71.4285714285714,57.1428571428571,30.1428571428571,28.5714285714286
"39","Foxtrot",1,1,1,0,0,0,0,42,0
"40","FrostNova",1,1,1,0,0,0,0,33,100
"41","Goldensaber",1,2,2,0,0,0,0,48,0
"42","Haifa_Team",1,1,1,0,0,0,0,34,100
"43","Haku",1,2,2,0,0,0,0,63,100
"44","Heather Shimmer",4,4,4,1,1,25,0,41,75
"45","Heisenburg",1,3,3,0,0,0,100,26,100
"46","HHH",1,3,3,0,0,0,0,NA,100
"47","Hi5",1,1,1,0,0,0,0,36,0
"48","HSCNAC",1,2,2,0,0,0,0,44,0
"49","Imielin",1,1,1,0,0,100,0,34,100
"50","IPZ_predi",2,2,2,0,0,0,50,33.5,100
"51","Junesix",1,2,2,0,0,100,0,35,100
"52","King Octopus",1,2,2,0,0,0,0,38,100
"53","Korrigan",1,2,2,0,0,100,0,43,0
"54","Lady in Black",1,2,2,0,0,0,0,39,100
"55","Little Bear",1,1,1,0,0,0,0,47,100
"56","LoneGradStudent",1,2,2,0,0,100,100,39,0
"57","LongerSquigglyLines",2,3,NA,1,NA,0,0,31,0
"58","Lotus",1,2,2,0,0,0,0,35,100
"59","md2000",1,2,2,0,0,0,0,52,0
"60","Me Myself and I",1,2,2,0,0,0,0,NA,0
"61","meebe",1,2,2,0,0,100,0,45,100
"62","MLTS",2,3,3,1,1,0,0,33,100
"63","MORDEAUX Team",3,4,4,0,0,33.3333333333333,66.6666666666667,31.3333333333333,100
"64","Motivation & Emotion",3,4,4,0,0,33.3333333333333,66.6666666666667,28,100
"65","Mr Muddle",1,1,1,0,0,0,0,37,100
"66","ms607",1,1,1,0,0,0,0,41,100
"67","Nigel Mantou Lou",1,2,2,0,0,0,0,30,100
"68","Northstar",1,2,2,0,0,0,0,40,100
"69","Not a fortune teller",1,1,1,0,0,100,0,47,0
"70","NotGreatWithNamesTeam",1,3,3,0,0,0,100,NA,100
"71","Nurni Flowenol",1,2,2,0,0,0,0,42,0
"72","NYHC",1,2,2,0,0,100,0,NA,0
"73","Old Chickens",1,2,2,0,0,0,0,43,100
"74","Otto",1,2,2,0,0,0,0,35,100
"75","Patricia Arriaga",1,1,1,0,0,0,100,49,100
"76","Platypus",1,1,1,0,0,0,0,40,0
"77","Polarization Disciples",2,2,2,1,1,0,100,27.5,0
"78","polarization-2020CO",1,1,1,0,0,100,0,34,0
"79","Pythia",2,2,2,0,0,0,100,23,100
"80","R4VST9",2,1,1,1,1,50,0,37.5,0
"81","Renegade",1,1,1,0,0,0,0,32,0
