"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","t.consent_First.Click","t.consent_Last.Click","t.consent_Page.Submit","t.consent_Click.Count","covidest_1","covidest_2","covidest_3","covidest_4","covidest_5","covidest_6","covidest_7","covidest_8","covidest_9","covidest_10","covidest_11","covidest_12","t.covid_First.Click","t.covid_Last.Click","t.covid_Page.Submit","t.covid_Click.Count","Age","t.demo_First.Click","t.demo_Last.Click","t.demo_Page.Submit","t.demo_Click.Count","Sex","Genderident","Genderident_5_TEXT","Education","Occupation","Ethnicity","Religion","Religion_Other","Politics_1","Country.of.Residence","Residential.Area","Income","Comments","PID","STUDY_ID","SESSION_ID","complete","Issue","Useless","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","predNumber","First.Click","Last.Click","Page.Submit","Click.Count","details","upload_Id","upload_Name","upload_Size","upload_Type","up_First.Click","up_Last.Click","up_Page.Submit","up_Click.Count","any_First.Click","any_Last.Click","any_Page.Submit","any_Click.Count","confidence","basis","basis_text","theory","parameters","covidcondyn","coviddesc","Intuition","Theory","Simulation","DataDriven","Other","Method","Error","OM.Flag","HK.Flag","Agreement","OM.Comment","HK.Comment","Final.Code","Final.OT","Disagreement","OT.Flag","OT.Comment"
"1",1,"6/2/2020 16:40","6/2/2020 17:08",0,"76.123.200.161",100,1715,1,"6/2/2020 17:08","R_3pBEu4LRmcSlYdz",NA,NA,NA,NA,36.56860352,-86.5141983,"anonymous","EN",NA,NA,NA,NA,1000000,1500000,1700000,1800000,2000000,2100000,2400000,2600000,2650000,2700000,2800000,3000000,NA,NA,NA,NA,33,NA,NA,NA,NA,1,2,NA,5,"Application Engineer",3,3,NA,3,"USA",2,5,"None","5ed67e74fb714c0c56b70c4b","5ed663e837984c08678159c5","5ed6b91d5833de11ac63500e",1,"lifesat","pred",6.39,6.401,6.37,6.36,6.35,6.36,6.37,6.33,6.3,6.34,6.4,6.33,11,NA,NA,NA,NA,2,"F_3GBXCKZUgLydbNM","life-satisfaction.xlsx",16540,"application/octet-stream",NA,NA,NA,NA,NA,NA,NA,NA,4,"1",NA,"Just looked at past data and guessed future results","No additional variables",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"2",2,"6/2/2020 16:30","6/2/2020 17:14",0,"98.116.152.99",100,2668,1,"6/2/2020 17:14","R_3FOGPcBnbUwwEEv",NA,NA,NA,NA,40.75030518,-74.00140381,"anonymous","EN",NA,NA,NA,NA,2000000,2250000,2275000,2300000,2325000,2340000,2345000,2350000,2355000,2358000,2362000,2365000,NA,NA,NA,NA,19,NA,NA,NA,NA,2,1,NA,3,"student",2,1,NA,2,"united states",1,5,NA,"5ed6a4539d0c930eeebbbf13","5ed663e837984c08678159c5","5ed6b6c00e41401045ce6d7e",1,"lifesat","pred",6,5.9,5.8,5.9,5.9,5.95,6,6,6.15,6.25,6.25,6.25,16,NA,NA,NA,NA,1,"F_yX8TvCJGAsfHXXz","life-satisfaction.xlsx",39666,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,5,"1,5",NA,"A lot of people have lost their jobs and their businesses because of COVID. Looters not associated with the BLM movements are also destroying small and large businesses which will cause further unemployment and issues for small business owners. The economy is also very poor as a result of the virus, as everything has halted.","Unemployment, people being unable to retire/losing life savings, and political events are affecting my response",1,"I think that as the pandemic weakens, life satisfaction may somehwat increase, but it will remain low because of the long lasting effects of the pandemic",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"3",3,"6/2/2020 17:13","6/2/2020 17:23",0,"172.249.164.22",100,571,1,"6/2/2020 17:23","R_2OZrDEScKaVlME6",NA,NA,NA,NA,34.11300659,-118.188797,"anonymous","EN",NA,NA,NA,NA,1000000,1200000,1600000,1700000,1800000,2000000,2100000,2150000,2170000,2180000,2190000,2200000,NA,NA,NA,NA,35,NA,NA,NA,NA,2,1,NA,3,"Account Director",4,10,NA,2,"United States",1,7,"It was kind of fun!","5c021afe55614800012b0421","5ed663e837984c08678159c5","5ed6c108f05e6712c9cdbd9c",1,"lifesat","pred",6.5,6.45,6.4,6.4,6.35,6.4,6.5,6.45,6.45,6.4,6.35,6.4,23,NA,NA,NA,NA,2,"F_2ygdYdXFYS5LgJH","life-satisfaction.xlsx",39647,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,2,"1,5","Roughly matched historical trending","I matched the fluctuation in the historical data and tried to make something similar.","No",2,NA,1,0,0,0,1,"Mixed",0,0,1,0,NA,NA,0,0,NA,NA,NA
"4",4,"6/2/2020 16:59","6/2/2020 17:29",0,"24.12.218.160",100,1828,1,"6/2/2020 17:29","R_3lQy8ucMtzEC1zG",NA,NA,NA,NA,42.03419495,-87.75679779,"anonymous","EN",NA,NA,NA,NA,1800000,2000000,2100000,2150000,2100000,2000000,2100000,2150000,2200000,2250000,2300000,2350000,NA,NA,NA,NA,27,NA,NA,NA,NA,2,1,NA,6,"ANALYST RESERVATION DATABASES",4,9,"JEHOVAH`S WITNESS",4,"UNITED STATES OF AMERICA",2,5,NA,"5eb0d9b91851f8195550d1e0","5ed663e837984c08678159c5","5ed6bda402d4a612a0867071",1,"lifesat","pred",6,6.1,6.1,6.2,6.2,6.3,6.3,6.2,6.2,6.2,6.2,6.3,29,NA,NA,NA,NA,1,"F_3O9sqTPzkKiG7Zs","life-satisfaction.xlsx",39649,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,5,"1,5","general trends expressed by mass media","I generated my predictions based on the current events and how they are expected to unfold and affect the life in the upcoming year. There is a general trend of a decreasing life satisfaction and I assume it will continue in the following year. 
There are a lot of predictions for the next year that have the potential to lower the life satisfaction degree for all people.","Variables like coronavirus cases, a new wave predicted for fall, unemployment rate that has hit an historic maximum, a change in political leadership for fall, economic crisis. All these events and variables have the potential to lower the satisfaction people sense in their lives.",1,"Coronavirus will be a constant presence in people`s lives for the next year or more. It will impact them, their loved ones or their friends when it comes to contracting it or dying because of it. Many will continue to be unemployed or will find jobs with a lot of difficulty. The world and US economy will continue to shrink. All these are due to the pandemic which impacts my life satisfaction prediction",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
"5",5,"6/2/2020 17:05","6/2/2020 17:40",0,"73.208.109.109",100,2088,1,"6/2/2020 17:40","R_C7DqbPlFuG8EexX",NA,NA,NA,NA,41.76879883,-88.34049988,"anonymous","EN",NA,NA,NA,NA,65000,80000,78000,79000,75000,60000,45000,43000,44000,45000,3000,15000,NA,NA,NA,NA,23,NA,NA,NA,NA,2,1,NA,3,"Healthcare Billing Associate",6,2,NA,5,"United States of America",2,6,"Last question before personal information was asked. ","5eb0b3c5d05304173d53fe86","5ed663e837984c08678159c5","5ed6be2c2eae9412d8ebae03",1,"lifesat","pred",6,5.8,5.7,5.6,5.4,5.3,5.3,5.2,5.3,5.3,5.2,5.3,35,NA,NA,NA,NA,1,"F_ANCFIU0sxSe4Na1","life-satisfaction (1).xlsx",39657,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,5,"4,5","Current events","I believe that because the current events happening today are life altering for some. My assumptions were based of the outcome of these current events. I have a negative assumption because I feel like what is happening now is affecting a lot of minorities, specifically african americans. I know eventually the numbers will turn for the better but it might take some time. ","I took many things into consideration when coming up with my personal assumptions. as previously stated, current events will make a huge impact in the months to come. The rallies and protests might cause a larger number of african americans to become affected by COVID-19. Rallies and protest might also cause a large amount of african americans to be incarcerated for their participation and they might become targets of hate and discrimination. Lastly I think political issues with heavily impact african americans in a negative way.",1,"Because of the unfortunate murders that have happened over the past few weeks (currently) there has been a large amount of group gatherings of minorities but mostly african americans. From my understanding it has not been deemed safe to be around a large number of people yet. I believe that COVID might have a negative impact on those who have been gathering in large groups with minimal protection and precaution for their health. ",0,0,0,1,1,"Data-Driven",0,0,1,0,NA,NA,0,0,NA,NA,NA
"6",6,"6/2/2020 17:39","6/2/2020 18:18",0,"97.70.114.159",100,2314,1,"6/2/2020 18:18","R_cYH3LlWCRRtBEqZ",NA,NA,NA,NA,42.50639343,-83.4068985,"anonymous","EN",NA,NA,NA,NA,600000,605000,610000,615000,625000,630000,630000,630000,632000,634000,636000,640000,NA,NA,NA,NA,29,NA,NA,NA,NA,2,1,NA,5,"Engineer",4,2,NA,3,"United States",2,7,NA,"5e679b0a07df760364841651","5ed663e837984c08678159c5","5ed6c7233d30b01376b92424",1,"lifesat","pred",6.5,6.5,6.5,6.35,6.35,6.3,6.25,6.35,6.2,6.3,6.3,6.45,46,NA,NA,NA,NA,1,"F_2YfjsTmO2nm5sS0","life-satisfaction.xlsx",39144,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,2,"1",NA,"My assumptions are based on general happenings in the world during each month- elections in November will have many people very tense and anxious, leading to a lower level of satisfaction, whereas the summer months and the holidays usually leave people happy, leading to a higher level of satisfaction. ","Yes - I considered that the Covid-19 curve has been slowly on the decline, and the 2020 elections. ",1,"The covid-19 pandemic trajectory has been difficult to model because of how much/ how little information is still known about covid-19 as well as how much data is currently available. We know that more than 100,000 people have died in the United States from this pandemic, but we still don't know how or when it's going to keep affecting us until a vaccine has been created. ",1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"7",7,"6/2/2020 19:15","6/2/2020 19:36",0,"47.189.184.221",100,1285,1,"6/2/2020 19:36","R_2z7Nbjp4XJks8nX",NA,NA,NA,NA,32.92190552,-96.62139893,"anonymous","EN",NA,NA,NA,NA,100000,110000,120000,130000,125000,110000,112000,120000,121000,122000,122300,121000,NA,NA,NA,NA,18,NA,NA,NA,NA,1,2,NA,2,"student",2,2,NA,2,"USA ",2,8,"I think compensation could be a little greater due to unforeseen tech problems and general length of completion","5ec6f24ebd8f96136b150db4","5ed663e837984c08678159c5","5ed6dd844954270008188a95",1,"lifesat","pred",6.39,6.11,6.22,6.13,6.21,6.35,6.39,6.32,6.29,6.25,6.45,6.56,48,NA,NA,NA,NA,2,"F_1NFz1lFYQEkcMTo","life-satisfaction.xlsx",39710,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",NA,NA,NA,NA,NA,NA,NA,NA,5,"1",NA,"I assume that disease will spread and people will realize how bad our US government is and become pessimistic. ","I based my decision on the prediction of a wave of new coronavirus and police brutality ",1,"I think COVID-19 makes all of us less happy and therefore less satisfied with life",1,0,0,0,0,"Intuition/Theory",0,0,0,0,NA,"coviddesc confusion?",0,0,NA,NA,NA
"8",8,"6/2/2020 17:08","6/2/2020 17:13",0,"73.45.178.46",79,291,0,"6/2/2020 21:13","R_23dZslrA0AQIMeH",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5c309bb410677f0001dda0ed","5ed663e837984c08678159c5","5ed6baf3b27be212e45ca2b1",1,"lifesat","pred",6.4,6.325,6.5,7.1,7,6.987,6.99,7.2,7.3,7.125,7.7,8,54,NA,NA,NA,NA,2,"F_2fCoW2ZqXglCWu6","life-satisfaction.xlsx",37724,"application/octet-stream",NA,NA,NA,NA,NA,NA,NA,NA,4,"1",NA,"I believe in a fluctuation of life satisfactions based on no specific structure. We all have reasons we are happy or sad, but certain times of the year, more people tend to lean one way or the other. ","Elections and holidays. ",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,0,1,NA,NA,0,0,NA,NA,NA
"9",9,"6/2/2020 22:27","6/2/2020 22:53",0,"108.82.237.9",100,1566,1,"6/2/2020 22:53","R_3n0ZG0aDaG89FJk",NA,NA,NA,NA,39.96530151,-83.02349854,"anonymous","EN",0,0,6.601,0,110000,120000,122000,123000,123500,124000,124500,126000,126500,126700,127,127.2,16.011,157.831,158.574,13,21,1.839,21.401,23.993,5,2,1,NA,5,"Part-Time desk worker",8,7,NA,1,"United States",1,1,NA,"5eb2051af5b2f9360a764d18","5ed6fd3e7ffbe2185db5c67a","5ed70a7150d9be1806e0b365",1,"lifesat","pred",6.3,6.2,6.2,6.3,6.2,6.3,6.3,6.33,6.21,6.3,6.33,6.4,73,14.079,14.079,14.001,1,1,"F_30iAjMRiHggSGef","life-satisfaction.xlsx",39663,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",5.598,5.598,5.501,1,4.149,141.288,143.094,4,3,"1",NA,"Besides COVID-19, there is a larger virus in the United States currently. Racism has been an issue for hundreds of years and given the protests that are exposing people to close contact and dangers to the virus, the second wave of the coronavirus will happen quickly. ","Black Lives Matter protests, opening of bars and restaurants",2,NA,1,0,0,0,0,"Intuition/Theory",0,0,1,0,NA,NA,0,0,NA,NA,NA
"10",10,"6/2/2020 22:41","6/2/2020 23:10",0,"73.165.84.163",100,1785,1,"6/2/2020 23:10","R_29ghYsRx7bBFQ6U",NA,NA,NA,NA,40.14349365,-75.37789917,"anonymous","EN",0,0,12.711,0,100000,100100,115000,170000,180000,200000,201000,201500,202000,202500,203000,205000,16.893,201.675,213.164,20,22,1.54,9.273,10.611,4,1,2,NA,5,"Unemployed ",2,10,"Atheist ",1,"Unites States",2,6,NA,"5ea949c6d1d7c20230af65d1","5ed6fd3e7ffbe2185db5c67a","5ed70dbf4ccf671a0b3dad08",1,"lifesat","pred",2,3,5,5,5,5,7,6,5,6,7,7,89,27.321,27.321,27.324,1,1,"F_BKYFWLcd9aF6mKl","life-satisfaction.xlsx",61217,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",9.81,52.33,67.485,2,3.615,73.61,132.9,6,3,"1,5","I chose those numbers on the basis of how I was feeling personally while on social media","I think people will have low numbers this spring due to covid as well as riots. ","I thought that there is going to be a jump up in November due to a political leader change. Also a slight dip in the winter. ",1,"I think that With all the deaths and quarantine now life satisfaction is low, but as time progresses it will slowly rise again. ",1,0,0,0,1,"Mixed",0,0,0,1,NA,NA,0,0,NA,NA,NA
