ResponseId,team_name,Issue,"basis (1 = Intuition, 2 = Theory, 3 = Sim, 4 = Data, 5 = Other)",basis_5_TEXT,model,theory,parameters,Other Entries (documents and/or previous submissions),numpred_4,OT Type,TS Type,Type Difference?,OT New Type,TS New Type,Type Difference 2.0,Type.Final,OT New Comments,TS New Comments,dr. G ruling,OT Complexity,TS Complexity,Type Difference?,OT New Complexity,TS New Complexity,Complexity Difference 2.0,Complexity.Final,OT New Comments,TS New Comments, OT Flag,TS Flag,OT.comment,TS.comment
R_1IgsGFMZYhVCPXU,ms607,lifesat,"1,2",NA,NA,Mean and confidence interval of historical time series,"COVID-19, based on current media coverage, an intuitive adjustment was made",,1,4,4,0,4,4,0,4,,,,1,1,0,1,1,0,1,,,,,"Basis indicates Theory, Theory column mentions mean + CI",
R_1IgsGFMZYhVCPXU,ms607,posaffect,1,NA,NA,na,COVID-19,,1,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,"Although participant mentions Means + CI in prior row, these are left blank. Should we treat them as the same or leave uncoded for complexity?",
R_1IgsGFMZYhVCPXU,ms607,negaffect,1,NA,NA,na,COVID-19,,1,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_1IgsGFMZYhVCPXU,ms607,polar,1,NA,NA,NA,COVID-19,,1,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_1IgsGFMZYhVCPXU,ms607,iasian,1,NA,NA,NA,COVID-19,,1,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_3Opn01NyerOFmAe,Forecasting Team 1,lifesat,"1,2",NA,NA,hedonic adaptation,none,,NA,2,2,0,2,2,0,2,,,,1,1,0,1,1,0,1,,,,,,
R_3D5hhCqsvLNisbo,ab,ideolrep,5,NA,NA,NA,NA,,NA,,,0,,,0,,,,,,,0,,,0,,,,1,1,Team has been contacted,no basis indicated
R_3D5hhCqsvLNisbo,ab,ideoldem,5,NA,NA,NA,NA,,NA,,,0,,,0,,,,,,,0,,,0,,,,1,1,Team has been contacted,no basis indicated
R_2UgadrXE2OiyQIB,TheMets,lifesat,5,Mean and Median alternatively,"I calculated the mean and median from the dataset and used them alternatively. 

","Good old ""regression to the mean"" goes back to Dalton, and I think it often is as good as any guess. I alternated with the median just to get some variation. ",None. ,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,posaffect,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,negaffect,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,ideolrep,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,ideoldem,5,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,See answers on Life Satistfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,polar,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,iasian,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,easian,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,iafric,5,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,eafric,5,See answers on Life Satisfaction,See answer for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction ,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,igend,5,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2UgadrXE2OiyQIB,TheMets,egend,5,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,See answers for Life Satisfaction,,NA,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2ZZyRqUPQ41Rcxl,AhamBrahamasmi,lifesat,1,NA,NA,none,none,,NA,1,1,0,1,1,0,1,,,,1,1,0,1,1,0,1,,,,,,
R_22JuVmmGmu5qWDO,C-Team,lifesat,"1,4",NA,Geometric mean of the datapoints provided ,"Our forecast is based on the general assumption that the many factors that predict the outcome variable are not known. Therefore, we opted for a minimalist model that summarizes the known datapoints and no additional assumptions. ","Expert forecasts on COVID (e.g., the IHME forecasts), even forecasts made for the same day, have been wrong by a lot. Thus, we are not incorporating additional assumption on COVID or other variables into our model. All the given datapoints are summarized using their geometric mean.	",,0,4,4,0,4,4,0,4,,,,1,1,0,1,1,0,1,,,,,,
R_sRueTBbGYDURxcd,Cascade Institute,lifesat,"1,4",NA,"Life satisfaction -- as measured from Twitter data -- varies very little. Generally, life satisfaction Twitter data indicates a slight uptake in life satisfaction during the summer months.",Life satisfaction tends to increase slightly in the summer months.,NA,,2,4,4,0,4,4,0,4,,,,1,1,0,1,1,0,1,,,,,,
R_2D7zcSqrVUj0sRy,1859 revised,igend,4,NA,I took the bias score from the same month (averaged across all years).,NA,NA,,0,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
R_2D7zcSqrVUj0sRy,1859 revised,egend,4,NA,I took the bias score from the same month (averaged across all years).,NA,NA,,0,3,3,0,3,3,0,3,,,,1,1,0,1,1,0,1,,,,,,
