Time,Polarization,Democrat Approvals,Republican Approvals,,
1/1/2017,77,10.5,87.5,,
2/1/2017,77.4,9.2,86.6,,
3/1/2017,76.66666667,8.333333333,85,,
4/1/2017,77.5,9.25,86.75,,
5/1/2017,76.4,7.8,84.2,,
6/1/2017,77.25,7,84.25,,
7/1/2017,76.8,7.6,84.4,,
8/1/2017,71.25,7.5,78.75,,
9/1/2017,72.5,8.25,80.75,,
10/1/2017,72.6,7.6,80.2,,
11/1/2017,73,7.5,80.5,,
12/1/2017,73.25,7,80.25,,
1/1/2018,79.6,5.6,85.2,,
2/1/2018,78,7.5,85.5,,
3/1/2018,77.5,7.5,85,,
4/1/2018,77.2,9.4,86.6,,
5/1/2018,76.25,10,86.25,,
6/1/2018,80.25,8.25,88.5,Source: ,Aggregated data from the Gallup polls conducted between January 2017 and March 2020.
7/1/2018,79,8.6,87.6,,Data represents absolute value of the difference score in Presidential Job Approval by Party Identification (Democrat vs. Republican)
8/1/2018,76.5,8.25,84.75,,Obtained from news.gallup.com/poll/203198/presidential-approval-ratings-donald-trump.aspx
9/1/2018,79.75,7,86.75,,
10/1/2018,81.2,7.2,88.4,,
11/1/2018,82.5,6.5,89,,
12/1/2018,80.66666667,7.333333333,88,,
1/1/2019,82.5,5.5,88,,
2/1/2019,84,5.5,89.5,,
3/1/2019,86,4,90,,
4/1/2019,80,10,90,,
5/1/2019,80,8.5,88.5,,
6/1/2019,84,5.5,89.5,,
7/1/2019,82.5,6.5,89,,
8/1/2019,84.5,3.5,88,,
9/1/2019,84,5,89,,
10/1/2019,82,6,88,,
11/1/2019,86,4,90,,
12/1/2019,81,8,89,,
1/1/2020,82.5,8.5,91,,
2/1/2020,85.5,7,92.5,,
3/1/2020,81.5,10,91.5,,
