,Duration..in.seconds.,ResponseId,phase,team_name,domain,Month.1,Month.2,Month.3,Month.4,Month.5,Month.6,Month.7,Month.8,Month.9,Month.10,Month.11,Month.12,Month.13,Month.14,Month.15,Month.16,Month.17,Month.18,confidence,subexpert,pub,basis,basis_5_TEXT,model,theory,parameters,numpred,covidcondyn,covidmeas,covidmeas_6_TEXT,coviddesc,covidest_1,covidest_2,covidest_3,covidest_4,covidest_5,covidest_6,covidest_7,covidest_8,covidest_9,covidest_10,covidest_11,covidest_12,datatrain,counterfact,counter_imp,counter_yn,othercounter,othercountim,Method,isExpert,ResponseId.old,revised,team_size,team_expertise,team_size.coded,team_discipline.coded,team_discipline.missingdat,previous_tournament.coded,previous_tournament.missingdat,Age,Sex,Genderident,Genderident_5_TEXT,Occupation,Ethnicity,Education,Religion,Religion_Other,Politics_1,Country.of.Residence,Residential.Area,Income,time_upload,Method.coded,Method.complex,DataOnly,mean_error_w1,root_mean_sqr_error_w1,mean_abs_error_w1,mean_percent_error_w1,mean_abs_percent_error_w1,MASE1_w1,RMSE_cutoff_Naive_linear,RMSE_cutoff_Naive_rwf,compare_to_naive_linear,compare_to_naive_rwf,MASE_cutoff_Naive_linear,MASE_cutoff_Naive_rwf,compare_to_naive_linear_MASE,compare_to_naive_rwf_MASE,time_spent,mean_error_covid,root_mean_sqr_error_covid,mean_abs_error_covid,mean_percent_error_covid,mean_abs_percent_error_covid,MASE1_covid,mean_error_w1_lastmonths,root_mean_sqr_error_w1_lastmonths,mean_abs_error_w1_lastmonths,mean_percent_error_w1_lastmonths,mean_abs_percent_error_w1_lastmonths,MASE1_w1_lastmonths,mean_error_w2,root_mean_sqr_error_w2,mean_abs_error_w2,mean_percent_error_w2,mean_abs_percent_error_w2,MASE1_w2,RMSE_cutoff_Naive_linear_w2,RMSE_cutoff_Naive_rwf_w2,compare_to_naive_linear_w2,compare_to_naive_rwf_w2,MASE_cutoff_Naive_linear_w2,MASE_cutoff_Naive_rwf_w2,compare_to_naive_linear_MASE_w2,compare_to_naive_rwf_MASE_w2,team_gender,team_education,team_Age,non_US,CounterFactual_Presence_Final,COVID.Final,Onus.Final,counterNum,justification_dataReceived,justification_theoreticalInsight,justification_externalEvent,parameters_coded,TournamentStart,ForecastisUpdated
1,71637,R_1IgsGFMZYhVCPXU,1,ms607,lifesat,6.24,6.26,6.22,6.24,6.27,6.26,6.28,6.32,6.3,6.35,6.36,6.34,NA,NA,NA,NA,NA,NA,3,4,2,"1,2",NA,NA,Mean and confidence interval of historical time series,"COVID-19, based on current media coverage, an intuitive adjustment was made",1,1,1,NA,it will decrease life satisfaction,55000,65000,68000,70000,72000,73000,73500,74000,75000,75500,76000,76500,NA,confinement,6,2,NA,NA,Intuition/Theory,1,R_1IgsGFMZYhVCPXU,1,1,Forecasting researcher,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,0.034583951,0.059254015,0.050415472,0.545228454,0.797583785,1.585817966,0,1,Below Naive linear,Above Naive rwf,0,1,Below Naive linear,Above Naive rwf,NA,239261.0833,287848.223,239261.0833,70.2395709,70.2395709,10.82759986,0.007958782,0.032421036,0.025437353,0.125096761,0.401667598,0.800131578,0.007958782,0.032421036,0.025437353,0.125096761,0.401667598,0.761173954,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,41,100,1,0,0,1,NA,NA,NA,1,May,NA
2,71637,R_1IgsGFMZYhVCPXU,1,ms607,posaffect,-1.2,-1.1,-1.3,-0.97,-0.95,-1.1,-0.95,-1.2,-0.9,-1.1,-0.8,-1.2,NA,NA,NA,NA,NA,NA,2,2,2,1,NA,NA,na,COVID-19,1,1,1,NA,"increase usage of negative words in the next few months, while positive words will remain relatively stable",55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,confinement,6,2,NA,NA,Intuition/Theory,1,R_1IgsGFMZYhVCPXU,1,1,Forecasting researcher,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-0.318807944,0.374891932,0.329030297,22.23924084,23.13698907,1.11318113,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,237927.75,286562.5827,237927.75,69.79081029,69.79081029,10.76726076,-0.267585834,0.34720145,0.28803054,19.62987359,21.42537005,0.974470025,-0.267585834,0.34720145,0.28803054,19.62987359,21.42537005,1.0730644,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,41,100,1,0,0,1,NA,NA,NA,1,May,NA
3,71637,R_1IgsGFMZYhVCPXU,1,ms607,negaffect,0.77,0.86,0.8,0.91,1.03,0.9,0.96,0.99,0.87,0.96,1.06,0.95,NA,NA,NA,NA,NA,NA,2,2,2,1,NA,NA,na,COVID-19,1,1,1,NA,"increase usage of negative words in the next few months, while positive words will remain relatively stable",55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,confinement,6,2,NA,NA,Intuition/Theory,1,R_1IgsGFMZYhVCPXU,1,1,Forecasting researcher,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.898924706,0.976518907,0.898924706,46.79165211,46.79165211,4.578137224,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,237927.75,286562.5827,237927.75,69.79081029,69.79081029,10.76726076,0.693375399,0.804772787,0.693375399,38.25687387,38.25687387,3.531294339,0.693375399,0.804772787,0.693375399,38.25687387,38.25687387,3.440830204,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,41,100,1,0,0,1,NA,NA,NA,1,May,NA
4,71637,R_1IgsGFMZYhVCPXU,1,ms607,polar,75,80,77,79,81,75,82,85,80,77,83,85,NA,NA,NA,NA,NA,NA,2,2,2,1,NA,NA,NA,COVID-19,1,1,1,NA,"decrease polarization at first, then increase",55000,65000,68000,72000,75000,76000,76500,77000,77500,78000,78500,79000,NA,confinement,5,2,NA,NA,Intuition/Theory,1,R_1IgsGFMZYhVCPXU,1,1,Forecasting researcher,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4.791666667,6.908629869,5.791666667,5.498907315,6.723559008,2.822261558,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,237261.0833,285823.6551,237261.0833,69.59567994,69.59567994,10.7370912,1.916666667,4.267122371,3.916666667,2.208537456,4.657840842,1.908579759,1.916666667,4.267122371,3.916666667,2.208537456,4.657840842,1.686065051,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,0,0,41,100,1,0,0,1,NA,NA,NA,1,May,NA
5,71637,R_1IgsGFMZYhVCPXU,1,ms607,iasian,0.6,0.55,0.48,0.52,0.35,0.4,0.52,0.41,0.49,0.39,0.49,0.52,NA,NA,NA,NA,NA,NA,3,2,2,1,NA,NA,NA,COVID-19,1,1,1,NA,increase score temporarily,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,NA,china communicating spread of the virus more timely and with more transparency,7,2,NA,NA,Intuition/Theory,1,R_1IgsGFMZYhVCPXU,1,1,Forecasting researcher,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,-0.128502037,0.147137029,0.128502037,-37.03717337,37.03717337,4.966064091,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,237927.75,286562.5827,237927.75,69.79081029,69.79081029,10.76726076,-0.120320131,0.13134874,0.120320131,-34.53751277,34.53751277,4.64986775,-0.120320131,0.13134874,0.120320131,-34.53751277,34.53751277,4.996686762,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,41,100,1,2,1,1,NA,NA,NA,1,May,NA
6,207,R_3Opn01NyerOFmAe,1,Forecasting Team 1,lifesat,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,4,5,2,"1,2",NA,NA,hedonic adaptation,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n/a,1,2,NA,NA,Intuition/Theory,1,R_3Opn01NyerOFmAe,0,1,,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,-0.178749382,0.182024899,0.178749382,-2.830831594,2.830831594,5.622559288,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.167041218,0.167832902,0.167041218,-2.638329273,2.638329273,5.254279137,-0.167041218,0.167832902,0.167041218,-2.638329273,2.638329273,4.998453419,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,34,0,0,0,0,0,NA,NA,NA,0,May,NA
7,94983,R_3D5hhCqsvLNisbo,1,ab,ideolrep,40,40,40,40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,1,1,2,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven,1,R_3D5hhCqsvLNisbo,0,1,NA,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2.603451364,3.395653391,2.603451364,5.880839131,5.880839131,2.673137903,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,NA,NA,NA,NA,NA,NA,NA,3.401428572,4.492375627,3.401428572,7.427564256,7.427564256,3.492474554,3.401428572,4.492375627,3.401428572,7.427564256,15.99864892,3.347086381,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,NA,100,0,0,0,0,NA,NA,NA,0,May,NA
8,94983,R_3D5hhCqsvLNisbo,1,ab,ideoldem,42,42,42,42,42,42,42,42,42,42,42,42,NA,NA,NA,NA,NA,NA,1,1,2,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven,1,R_3D5hhCqsvLNisbo,0,1,NA,1,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,5.150610977,5.484682745,5.150610977,10.78049106,10.78049106,4.848555561,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,3.295714286,3.388228422,3.295714286,7.247846257,7.247846257,3.102438507,3.295714286,3.388228422,3.295714286,7.247846257,15.99864892,3.101673959,0,0,Below Naive linear,Below Naive rwf,0,0,Below Naive linear,Below Naive rwf,0,0,NA,100,0,0,0,0,NA,NA,NA,0,May,NA
9,2790,R_2UgadrXE2OiyQIB,1,TheMets,lifesat,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,NA,NA,NA,NA,NA,NA,3,2,2,5,Mean and Median alternatively,"I calculated the mean and median from the dataset and used them alternatively. 

","Good old ""regression to the mean"" goes back to Dalton, and I think it often is as good as any guess. I alternated with the median just to get some variation. ",None. ,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,None. ,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.053249382,0.066426142,0.053249382,-0.84570915,0.84570915,1.674958565,0,1,Below Naive linear,Above Naive rwf,0,1,Below Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.041541218,0.047368289,0.041541218,-0.656741449,0.656741449,1.306678414,-0.041541218,0.047368289,0.041541218,-0.656741449,0.656741449,1.243057518,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
10,2790,R_2UgadrXE2OiyQIB,1,TheMets,posaffect,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,NA,NA,NA,NA,NA,NA,3,2,2,5,Mean-Median regression,See answers on Life Satisfaction,See answers on Life Satisfaction,See answers on Life Satisfaction,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,See answers on Life Satisfaction,NA,2,NA,NA,Data-Driven,1,R_2UgadrXE2OiyQIB,0,1,,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,-0.410474611,0.434780691,0.410474611,28.88589573,28.88589573,1.388724975,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,NA,NA,NA,NA,NA,NA,NA,-0.320085834,0.346026591,0.320085834,23.98532471,23.98532471,1.082920064,-0.320085834,0.346026591,0.320085834,23.98532471,23.98532471,1.192487136,1,1,Above Naive linear,Above Naive rwf,1,1,Above Naive linear,Above Naive rwf,0,0,32,100,0,0,0,0,NA,NA,NA,0,May,NA
