"","contrast","domain","ratio","SE","df","null","t.ratio","p.value"
"1","0 / 1","eafric",1.20121886697286,0.261152326543081,326.962246723204,1,0.843291662650019,0.399681842604783
"2","0 / 1","easian",2.00760698470064,0.389389108723835,334.968566944112,1,3.5932914473435,0.000375510879783092
"3","0 / 1","egend",1.72867459882489,0.372154846671241,329.760923947057,1,2.54248647060252,0.0114635061162068
"4","0 / 1","iafric",1.14226248634764,0.233305032641614,334.319445946998,1,0.651222123453454,0.515350474864412
"5","0 / 1","iasian",2.23742815469425,0.413638157342887,333.966513685013,1,4.35612964633736,0.0000176365699565859
"6","0 / 1","ideoldem",1.43958070157348,0.255435120164496,333.820083688926,1,2.05341360878641,0.0408112445271586
"7","0 / 1","ideolrep",1.25604341350835,0.222868783883148,333.820083688926,1,1.28477385691344,0.199762096221381
"8","0 / 1","igend",2.10551694711765,0.459891625069146,328.406909380854,1,3.40881580612821,0.000733709443743263
"9","0 / 1","lifesat",1.40180322701388,0.197437398849545,298.453512536135,1,2.39808798974406,0.0170949208983564
"10","0 / 1","negaffect",0.767754719702193,0.143495247881108,333.845227909818,1,-1.41402616305931,0.158286078780526
"11","0 / 1","polar",0.870819398723538,0.157001001189164,331.210855751244,1,-0.767207370369011,0.443504773034886
"12","0 / 1","posaffect",0.772011927252447,0.144290930456582,333.845227909818,1,-1.38444018069742,0.167148361691492
