"","contrast","domain","ratio","SE","df","null","t.ratio","p.value","Hochberg"
"1","method.contrast0 / method.contrast1","iafric",1.23546610186141,0.303033224420057,520.239395873846,1,0.862074509905383,0.389043706420298,0.685153914167829
"2","method.contrast0 / method.contrast1","ideolrep",1.16728610100013,0.235101209127468,521.667554648983,1,0.767999218034394,0.442835143753399,0.685153914167829
"3","method.contrast0 / method.contrast1","eafric",1.10660329327379,0.276316261678377,510.617771410024,1,0.405671500007929,0.685153914167829,0.685153914167829
"4","method.contrast0 / method.contrast1","negaffect",0.790209154633469,0.15457123017434,519.240476929735,1,-1.20372182696549,0.229245588323677,0.685153914167829
"5","method.contrast0 / method.contrast1","lifesat",2.06744273254917,0.322015191505172,478.215452150638,1,4.66316320820286,0.00000404573399078723,0.0000485488078894468
"6","method.contrast0 / method.contrast1","easian",1.12526879724318,0.251857923890207,521.994544069658,1,0.527306833035004,0.598204564802147,0.685153914167829
"7","method.contrast0 / method.contrast1","ideoldem",1.61127928685012,0.324525159903763,521.667554648983,1,2.3684637071082,0.0182256014143441,0.182256014143441
"8","method.contrast0 / method.contrast1","iasian",1.27621424969719,0.273010663071349,520.236545080959,1,1.14012470890717,0.25475897328694,0.685153914167829
"9","method.contrast0 / method.contrast1","polar",1.08593596321413,0.21399833710011,517.810773622869,1,0.418353758090034,0.67586193929035,0.685153914167829
"10","method.contrast0 / method.contrast1","igend",1.14460195937051,0.259365693311582,515.449070951402,1,0.596017304432576,0.551425295899731,0.685153914167829
"11","method.contrast0 / method.contrast1","posaffect",0.708410218659365,0.138570704128379,519.240476929735,1,-1.76236121721425,0.0785965974492572,0.685153914167829
"12","method.contrast0 / method.contrast1","egend",2.08876485014464,0.463220687560038,519.138129305572,1,3.321370669124,0.000958822770117965,0.0105470504712976
