"","team_name","Domains","Tournament","Rank","Nteams","May2020","June2020","July2020","August2020","Sept2020","Oct2020","Nov2020","Dec2020","Jan2021","Feb2021","March2021","April2021","MAE","MASE"
"1",NA,"Life Satisfaction","Ground truth marker",NA,NA,6.333666,6.217447,6.304413,6.327005,6.336294,6.338431,6.331354,6.300137,6.348834,6.347219,6.330294,6.339914,NA,NA
"2",NA,"Positive Affect in Social Media","Ground truth marker",NA,NA,-1.40749,-1.661676,-1.433936,-1.424874,-1.444958,-1.467245,-1.477645,-1.36759,-1.413699,-1.180119,-1.177795,-1.138666,NA,NA
"3",NA,"Negative Affect in Social Media","Ground truth marker",NA,NA,1.51804,2.229232,1.940714,1.981326,2.047503,2.180029,2.23496,1.847799,1.966321,1.417357,1.322085,1.161731,NA,NA
"4",NA,"Ideological Preferences for Democrats","Ground truth marker",NA,NA,47.43023,48.20667,48.25023,48.92389,49.23156,50.13557,45.8,46,NA,44.42857,46,44.25,NA,NA
"5",NA,"Ideological Preferences for Republicans","Ground truth marker",NA,NA,41.17674,41.28222,41.44977,41.81407,43.11844,42.78957,45.65,48,NA,40.85714,42,40.5,NA,NA
"6",NA,"Political Polarization","Ground truth marker",NA,NA,78,84.5,87,85,87.5,91,87,81,82.5,84,86,83,NA,NA
"7",NA,"Implicit Asian American Bias","Ground truth marker",NA,NA,0.3611811,0.3266711,0.3447837,0.3510517,0.3464791,0.3497295,0.3544105,0.3506364,0.3664376,0.3473538,0.344418,0.3348229,NA,NA
"8",NA,"Explicit Asian American Bias","Ground truth marker",NA,NA,-0.1908142,-0.2467328,-0.1923643,-0.1488679,-0.1749712,-0.172446,-0.1785698,-0.1380645,-0.1649681,-0.1558643,-0.1843981,-0.2370465,NA,NA
"9",NA,"Implicit African American Bias","Ground truth marker",NA,NA,0.2751396,0.2560401,0.2731962,0.2721085,0.2778844,0.286483,0.2807626,0.2795,0.2769582,0.2822287,0.2824247,0.2819609,NA,NA
"10",NA,"Explicit African American Bias","Ground truth marker",NA,NA,-0.1768523,-0.2204723,-0.2256391,-0.1952333,-0.2096647,-0.1937306,-0.20387,-0.1771797,-0.1864452,-0.2117938,-0.2048987,-0.2168682,NA,NA
"11",NA,"Implicit Gender-Career Bias","Ground truth marker",NA,NA,0.3469385,0.353783,0.3556234,0.3526524,0.3557363,0.344321,0.3448016,0.3389993,0.3475489,0.3587705,0.3547804,0.3537874,NA,NA
"12",NA,"Explicit Gender-Career Bias","Ground truth marker",NA,NA,0.8522458,0.8079851,0.7954372,0.7906953,0.8033877,0.8229499,0.7808411,0.7461424,0.789063,0.7364855,0.75242,0.7922046,NA,NA
"13","fearfulastra","Explicit African American Bias","May - 12-months",1,22,-0.052,-0.089,-0.132,-0.15,-0.13,-0.144,-0.147,-0.15,-0.153,-0.157,-0.16,-0.163,0.066303993,2.20943704235331
"14","The Well-Adjusted R Squares","Explicit African American Bias","May - 12-months",2,22,-0.1017757,-0.1046566,-0.1075375,-0.1104184,-0.1132993,-0.1161802,-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.0842666763333333,2.80800458166771
"15","LongerSquigglyLines","Explicit African American Bias","May - 12-months",3,22,-0.024326,-0.067146,-0.123192,-0.143078,-0.136272,-0.16062,-0.142415,-0.061866,-0.095618,-0.14626,-0.129957,-0.139493,0.0877004096666667,2.92242631219953
"16","Tosbik","Explicit African American Bias","May - 12-months",4,22,-0.07,-0.09,-0.1,-0.11,-0.09,-0.1,-0.12,-0.12,-0.1,-0.13,-0.14,-0.13,0.093553993,3.11748430587374
