"","team_name","mean_abs_error_w1","MASE1_w1","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","domain","team_size.coded","discipline","previous_tournament.coded","Method.code","model","theory","numpred","parameters","Method.complex","team_expertise"
"1","fearfulastra",0.0219906194166667,0.523376483786086,0.806,0.8,0.805,0.778,0.79,0.774,0.771,0.769,0.766,0.763,0.761,0.758,"egend",1,"Data/Computer Science",0,"Data-Driven","Time-series regression with monthly adjustments","None",0,"None",2,""
"2","The Well-Adjusted R Squares",0.00586615333333332,0.526829630267004,0.3576008,0.3572433,0.3568859,0.3565284,0.3561709,0.3558134,0.355456,0.3550985,0.354741,0.3543836,0.3540261,0.3536686,"igend",3,"Social Sciences",0,"Hybrid","Our forecast is based on the assumption that overall societal-level phenomena change steadily and slowly over time. Thus, we use the linear trend observed previous three years’ data to predict trajectory over the following 12 months. Spikes and valleys observed in the previous data are probably caused by unforeseen societal events (e.g., conflicts) or random error, and these are essentially impossible to predict. For example, few people would have predicted a global pandemic or widespread unrest over police brutality to the resolution of a month with much confidence at any time in 2019. Nor would they have predicted people’s attitudes changing in reaction to such events. Our stance is that while fluctuations will probably be observed in future data, we can only make predictions about the larger ongoing trend, and that they will not be affected by monthly fluctuations. Therefore, we do not attempt to predict variations around the linear trends. In the case of explicit attitudes to Asian Americans and African Americans, we adjusted the predicted points by -10% on the assumption that difference scores based on feeling thermometer ratings would plateau (e.g., never reach a point where Minority target ratings would be +10 and White target ratings -10).","Our forecast is based on the assumption that overall societal-level phenomena change steadily and slowly over time. Thus, we use the linear trend observed previous three years’ data to predict trajectory over the following 12 months. Spikes and valleys observed in the previous data are probably caused by unforeseen societal events (e.g., conflicts) or random error, and these are essentially impossible to predict. For example, few people would have predicted a global pandemic or widespread unrest over police brutality to the resolution of a month with much confidence at any time in 2019. Nor would they have predicted people’s attitudes changing in reaction to such events. Our stance is that while fluctuations will probably be observed in future data, we can only make predictions about the larger ongoing trend, and that they will not be affected by monthly fluctuations. Therefore, we do not attempt to predict variations around the linear trends. In the case of explicit attitudes to Asian Americans and African Americans, we adjusted the predicted points by -10% on the assumption that difference scores based on feeling thermometer ratings would plateau (e.g., never reach a point where Minority target ratings would be +10 and White target ratings -10).",0,NA,1,"We are all quant social/OB researchers holding academic positions."
"3","Imielin",0.22462137175,0.75994300445531,-1.35,-1.25,-1.15,-1.15,-1.28,-1.28,-1.28,-1,-1.1,-1.2,-1,-0.9,"posaffect",1,"Behavioral Sciences",0,"Intuition/Theory",NA,"NO",8,"Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",1,"Moral psychologist, psychotherapist."
"4","Junesix",2.04166666666667,0.994897959349421,82,84,86,85,87,89,89,87,86,85,86,87,"polar",1,"Social Sciences",0,"Data-Driven","ARIMA model","The assumption that polarization of opinions increases before decision-making and decreases immediately after - but before the outcomes of the consequences of the decision have the time to unfold.",1,"The presidential elections",3,"the team has expertise in data analysis in sociology and social psychology, with the focus on identity and attitudes, but no specific expertise on the US"
"5","polarization-2020CO",0.0329093370833333,1.03516273201437,6.29,6.29,6.31,6.33,6.33,6.36,6.34,6.35,6.36,6.4,6.39,6.4,"lifesat",1,"Behavioral Sciences",0,"Intuition/Theory",NA,NA,0,NA,1,NA
"6","The Well-Adjusted R Squares",0.06447164725,1.07157725635532,-0.1017757,-0.1046566,-0.1075375,-0.1104184,-0.1132993,-0.1161802,-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,"easian",3,"Social Sciences",0,"Hybrid","Our forecast is based on the assumption that overall societal-level phenomena change steadily and slowly over time. Thus, we use the linear trend observed previous three years’ data to predict trajectory over the following 12 months. Spikes and valleys observed in the previous data are probably caused by unforeseen societal events (e.g., conflicts) or random error, and these are essentially impossible to predict. For example, few people would have predicted a global pandemic or widespread unrest over police brutality to the resolution of a month with much confidence at any time in 2019. Nor would they have predicted people’s attitudes changing in reaction to such events. Our stance is that while fluctuations will probably be observed in future data, we can only make predictions about the larger ongoing trend, and that they will not be affected by monthly fluctuations. Therefore, we do not attempt to predict variations around the linear trends. In the case of explicit attitudes to Asian Americans and African Americans, we adjusted the predicted points by -10% on the assumption that difference scores based on feeling thermometer ratings would plateau (e.g., never reach a point where Minority target ratings would be +10 and White target ratings -10).","Our forecast is based on the assumption that overall societal-level phenomena change steadily and slowly over time. Thus, we use the linear trend observed previous three years’ data to predict trajectory over the following 12 months. Spikes and valleys observed in the previous data are probably caused by unforeseen societal events (e.g., conflicts) or random error, and these are essentially impossible to predict. For example, few people would have predicted a global pandemic or widespread unrest over police brutality to the resolution of a month with much confidence at any time in 2019. Nor would they have predicted people’s attitudes changing in reaction to such events. Our stance is that while fluctuations will probably be observed in future data, we can only make predictions about the larger ongoing trend, and that they will not be affected by monthly fluctuations. Therefore, we do not attempt to predict variations around the linear trends. In the case of explicit attitudes to Asian Americans and African Americans, we adjusted the predicted points by -10% on the assumption that difference scores based on feeling thermometer ratings would plateau (e.g., never reach a point where Minority target ratings would be +10 and White target ratings -10).",0,"none",1,"We are all quant social/OB researchers holding academic positions."
"7","NotGreatWithNamesTeam",0.02936862925,1.13497418455577,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,0.318796,"iasian",1,"Data/Computer Science",0,"Data-Driven","We did not believe in strong effects on implicit Asian American bias since we doubt the reliability and validity of the measure. We tested seasonal monthly effects using cyclical p-spline in a GAM model. After rejecting the model, we defaulted to a model using a constant value across the whole range.","We assumed low reliability and validity of the measure and, therefore, predict it not to be sensitive to the circumstances. ",0,"No other variables where included. ",2,NA
"8","AbCdEfG",1.41537388818182,1.3323698813025,47.8,47.65,47.5,47.36,47.22,47.1,46.98,46.88,46.79,46.7,46.63,46.57,"ideoldem",1,"Social Sciences",0,"Data-Driven","Vector autoregression with a constant and one lag term; I used the lower and upper end of the predictions to differentiate more between republicans democrats as I think that the current affairs are going to turn out to be relevant.  ","None",0,"No additional variables",2,"Economics"
"9","Erebuni",1.57090616545455,1.61295458456743,39,39,42,42,44,47,48,47,43,42,41,42,"ideolrep",2,"Multi-disciplinary",0,"Intuition/Theory",NA,"Previous research has shown a tendency to gravitate towards conservatism when faced with system threatening events, be it terrorist attacks or a pandemic (Jost et al., 2017; Economou & Kollias, 2015; Berrebi & Klor, 2008; Canetti-Nisim et al., 2009; Schüller, 2015; Beall et al., 2016; Schaller et al., 2017). With this in mind, we believe that the COVID-19 outbreak, as a system-threatening event, will precipitate a shift towards supporting the Republican party.

In addition, relative deprivation—the perception that one’s self or group does not receive valued resources, goals, or standards of living (Kunst & Obaidi, 2020)—might play a role in ideological preferences. Assuming that Americans value their economic resources, and that they perceive themselves to be victims of their country’s challenging economic circumstances, this relative deprivation during COVID-19 may trigger supporting the Republican party to counter Americans’ lost economic resources. The Republican party, and not the Democratic party, could be more supported because it is perceived as the party that owns the economy.",1,"George Floyd riots and protests. We suspected the protests/riots would encourage USA citizens to more strongly adhere to their preferred political party, as well as sway a certain proportion of democratic voters (possibly those who are not strong Democratic supporters) towards the Republican party, considering there have been 18 casualties at events thus far (3 by fault of police and 15 by civilians); these events have garnered much vocal support from Democratic leaders (vs. Republican).",1,"MA students in psychology (clinical & social)"
"10","Imielin",0.393575294,2.0044411859621,2.54,2.42,2.22,2.21,2.1,2.2,2.35,2.12,2.11,2.2,2.1,2,"negaffect",1,"Behavioral Sciences",0,"Intuition/Theory",NA,"NO",8,"Covid deaths, unemployment, taking care of children, home-office, political changes, social changes in communication and groups prejudice, health problems connected with medical treatment, being afraid of all situation, general anxiety",1,"Moral psychologist, psychotherapist."
