"","domain","mean_abs_error_w2","MASE1_w2","team_name","mean_abs_percent_error_w2","compare_to_naive_linear_MASE_w2","compare_to_naive_rwf_MASE_w2","team_size.coded","discipline","previous_tournament.coded","Method.code","model","theory","numpred","parameters","Method.complex","team_expertise","phase","revised"
"1","eafric",0.0106680583333333,0.354090991496177,"BlackSwan",5.65254034972847,"Below Naive linear","Below Naive rwf",1,"Social Sciences",0,"Data-Driven","I compared my estimates for the past 6 months with the actual data during that period and updated my estimates. I also used the past data to make the new estimates. ","Following discussions on Twitter, it seems to me that expressing negative attitudes toward african americans is even less socially acceptable than before the death of George Floyd.",0,"-",1,"I am an assistant professor in social psychology who studies how people think about the future.",2,1
"2","easian",0.0264963,0.447880983371096,"Imielin",14.7622611115613,"Above Naive linear","Above Naive rwf",1,"Behavioral Sciences",0,"Intuition/Theory",NA,"no",8,"COVID deaths",1,"Moral psychologist, psychotherapist.",2,1
"3","egend",0.0198388301666667,0.51123242815501,"Polarization Disciples",2.60012135803804,"Below Naive linear","Below Naive rwf",2,"Social Sciences",1,"Data-Driven","We first estimate a statistical model to leverage autocorrelation in the data. Specifically, each estimated value is the weighted average of the previous five values of the same variable, where the weights are obtained through an ordinary least squares regression in which the current value is predicted from the five previous values.  We further sought to leverage the correlations among the variables. To do this, we had each variable’s final [model-based] prediction result from a regularized regression (specifically a ridge regression) where each variable’s predicted value from the OLS described above is used to predict the current value of each variable.","None",0,"We considered additional variables such as COVID-19 deaths and unemployment rate. However, including these predictors would require having a separate, highly accurate forecasting model for these variables. Because we were not confident that we could deliver such a forecasting model, we were not confident that including additional variables would reduce (instead of increase) prediction accuracy.",2,"We are two PhD students in Sociology. We have researched and published on topics related to political ideology, political polarization, implicit and explicit biases. We have experience doing predictions using machine learning.",2,0
"4","iafric",0.001242145,0.147425885685671,"Polarization Disciples",0.445562382920634,"Below Naive linear","Below Naive rwf",2,"Social Sciences",1,"Data-Driven","We first estimate a statistical model to leverage autocorrelation in the data. Specifically, each estimated value is the weighted average of the previous five values of the same variable, where the weights are obtained through an ordinary least squares regression in which the current value is predicted from the five previous values.  We further sought to leverage the correlations among the variables. To do this, we had each variable’s final [model-based] prediction result from a regularized regression (specifically a ridge regression) where each variable’s predicted value from the OLS described above is used to predict the current value of each variable.","None",0,"We considered additional variables such as COVID-19 deaths and unemployment rate. However,  including these predictors would require having a separate, highly accurate forecasting model for these variables. Because we were not confident that we could deliver such a forecasting model, we were not confident that including additional variables would reduce (instead of increase) prediction accuracy.",2,"We are two PhD students in Sociology. We have researched and published on topics related to political ideology, political polarization, implicit and explicit biases. We have experience doing predictions using machine learning.",2,0
"5","iasian",0.00703164116666667,0.29201188682289,"TAPE-Measurement",1.99572894478278,"Below Naive linear","Below Naive rwf",1,"Social Sciences",0,"Hybrid","Critically, the measure used by PI is not a measure of generalized bias, but ""Americanness"" bias (or associating European American faces with domestic / not foreign concepts more easily than Asian American faces). We have previously conducted analysis on nearly a decade of Implicit Americaness Bias data from PI and have found that trends are generally conceivable as linear over sufficient time horizons. We thus assume that trends will eventually be linear. We layer in our theory about how trends will shift in the short term as conservative media entities lose incentive to depict COVID-19 as the ""China Virus"" and use like terminology that suggests China is responsible for the virus,","It is first critically important to note that this measure does not pick up generalized implciit bias, but specifically Americanness bias, or the belief that European Americans are more ""American"" than Asian Americans, and that Asian Americans are more ""foreign"" than European Americans."" While important in its own right, this is a distinct construct from what was described in the PDF instructions. That said, we anticipate there to be two major drivers of this bias: COVID coverage and compositional effects. Right now, COVID coverage continues, but the tenor has shifted markedly. Whereas before, conservative media used terms like ""China virus"" to deflect attention away from Trump's responsibilty for the virus's impacts, these media will have limited incentive to continue to use this language. Instead, they will likely focus on Biden's actions around the virus. This will be incorrect if conservative media focus on the ""Beijing Biden"" narrative, and suggest Biden may be in some way connected to China, which is responsible for the virus, but that seems a less clear storyline, and thus a less likely one. The compositional story is that college students are a large proportion of PI takers and do not take the survey as much during summer months. Finally, in September, many freshman with limited exposure to Asian individuals take PI for the firs time. This ""freshman effect"" or ""September surge"" results in a spike in implicit bias which sunsets immediately. We thus expect gradual declines in bias to achieve reversion to the mean, with these declines  growing more gradual over time until they match pre-COVID trends.  Ideas driven largely by this recent article: https://journals.sagepub.com/doi/full/10.1177/1090198120957949",0,"None",1,NA,2,0
"6","ideoldem",0.631890691999999,0.594687140479408,"AbCdEfG",15.9986489242033,"Below Naive linear","Below Naive rwf",1,"Social Sciences",0,"Data-Driven","I revised my earlier estimates by looking at how much I missed in the last six months (overlap period). I calculated the average error and corrected with this factor the previous estimates. After six months, I just keep my estimate constant.",NA,0,NA,1,"Economics",2,1
"7","ideolrep",2.204467428,2.16924822864749,"teamGreenLake",15.9986489242033,"Below Naive linear","Below Naive rwf",3,"Multi-disciplinary",1,"Data-Driven","For the prediction of this variable (just like for all the 4 variables we chose to predict), we employed a simple univariate data-driven forecasting approach using the following procedure. We applied an auto-regressive integrated moving average (ARIMA) model. Before modeling the time series, we plotted the data, checked for the need to stabilize the variance and automatically applied Box-Cox transformation (with and adjusted back-transformation to produce mean forecasts) if so. Then, we employed a variation of the Hyndman-Khandakar algorithm (Hyndman & Khandakar, 2008), as implemented in the forecast::auto.arima() function. After estimating and selecting the best-fitting model (based on AICs), we checked for the autocorrelation of the residuals by plotting the ACF plot and the portmanteau test whether the residuals are consistent with white noise (randomness). In case the residuals showed a significant pattern of autocorrelation, we went on to determine the ARIMA model parameters and selecting a better model manually. If the autocorrelation of residuals test was non-significant at alpha = .05, we calculated numerical point-estimate forecasts for the next 12 months. We did not further adjust these estimates in any way.  In case of this given variable (Political Ideology), we tuned the model in the following way. Given theoretical considerations and the examination of past data, we assumed stationarity (lack of prolonged time trends) and restricted the model search to non-seasonal models.","The only theoretical assumption for the given variable was stationarity (including lack of seasonality). Namely, we consider this variable a relatively very stable population characteristic (at least in the short run of 12 months), that did not seem to be markedly affected by the rather heated 2020 U.S. presidential election campaigns.",0,"We did not use any additional variables. In this specific instance of predictive problem, we opted for a conservative estimate, expecting that in the current situation stricken by a high degree of unpredictability, this simple approach has a fair chance of outperforming more complicated multivariate approaches.",3,"All three team members have different levels of expertise in statistical modelling techniques (not as much with predictive modelling though), two of them are trained psychologists with some subject-matter experience in the following two variables: life satisfaction and affect on social media (and have published 1 paper on related topic each) ",2,0
"8","igend",0.0040466255,0.371350647449609,"datamodelers",1.15445394405503,"Below Naive linear","Below Naive rwf",2,"Behavioral Sciences",0,"Data-Driven","time series analysis (Holt Winters Exponential Smoothing) ","none",0,"none",2,"Cognitive/Quantitative Psychology",2,0
"9","lifesat",0.0120152968333334,0.3595394141085,"Sociology",0.190006968896803,"Below Naive linear","Below Naive rwf",1,"Social Sciences",0,"Data-Driven",NA,"My predictions were simple and based on the idea that the past is a good prediction of the future. I took the current satisfaction during the pandemic and predicted that it would slowly shift back to the previous mean satisfaction prior to the pandemic.",0,"No other variables were used.  Essentially, I took the current satisfaction and predicted that it would slowly shift back to the previous mean satisfaction.",1,"I'm a assistant professor of sociology who studies inequality, attitudes, politics, and social change with a focus on gender.",2,1
"10","negaffect",0.191317811,0.94940216123316,"Team Supreme Ignorance",11.5605885426131,"Below Naive linear","Below Naive rwf",1,"Data/Computer Science",0,"Data-Driven",NA,"Regression to the mean",0,"Introduction of Covid-19 vaccine",1,"social scientist with some background in computer science, having lived in the US for several years, closely following US news",2,0
