"","team_name","domain","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w1","MASE1_w1","Method.code"
"1","fearfulastra","eafric",-0.052,-0.089,-0.132,-0.15,-0.13,-0.144,-0.147,-0.15,-0.153,-0.157,-0.16,-0.163,0.066303993,2.209437042,"Data-Driven"
"2","The Well-Adjusted R Squares","eafric",-0.1017757,-0.1046566,-0.1075375,-0.1104184,-0.1132993,-0.1161802,-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.084266676,2.808004582,"Hybrid"
"3","LongerSquigglyLines","eafric",-0.024326,-0.067146,-0.123192,-0.143078,-0.136272,-0.16062,-0.142415,-0.061866,-0.095618,-0.14626,-0.129957,-0.139493,0.08770041,2.922426312,"Data-Driven"
"4","Tosbik","eafric",-0.07,-0.09,-0.1,-0.11,-0.09,-0.1,-0.12,-0.12,-0.1,-0.13,-0.14,-0.13,0.093553993,3.117484306,"Intuition/Theory"
"5","Compassionate Values","eafric",-0.091,-0.094,-0.097,-0.1,-0.103,-0.106,-0.109,-0.112,-0.115,-0.118,-0.121,-0.124,0.094387326,3.145253335,"Data-Driven"
"6","BlackSwan","eafric",-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,0.101887326,3.395174601,"Intuition/Theory"
"7","Bluebirds","eafric",-0.0823284,-0.0856078,-0.0881803,-0.0904201,-0.0925032,-0.0945125,-0.0964872,-0.0984455,-0.100396,-0.102343,-0.104288,-0.106202,0.106744493,3.557029166,"Data-Driven"
"8","A Woman Scientist","eafric",-0.07,-0.08,-0.09,-0.1,-0.08,-0.07,-0.08,-0.07,-0.1,-0.11,-0.08,-0.08,0.11772066,3.92278616,"Intuition/Theory"
"9","WQXZ","eafric",-0.073063,-0.074518,-0.075166,-0.075814,-0.076461,-0.077109,-0.077757,-0.078404,-0.079052,-0.079699,-0.080347,-0.080994,0.124521993,4.149425871,"Data-Driven"
"10","MLTS","eafric",-0.070721664,-0.071255165,-0.071788666,-0.072322167,-0.072855668,-0.073389169,-0.07392267,-0.074456171,-0.074989672,-0.075523173,-0.076056674,-0.076590175,0.128231407,4.273034058,"Data-Driven"
"11","Heisenburg","eafric",-0.047,-0.015,-0.05,-0.091,-0.107,-0.085,-0.097,-0.076,-0.061,-0.061,-0.09,-0.085,0.129803993,4.325437088,"Data-Driven"
"12","Bordeaux","eafric",-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.131887326,4.394859661,"Data-Driven"
"13","BRTWN","eafric",-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,0.132311126,4.408981879,"Data-Driven"
"14","Imielin","eafric",-0.07,-0.07,-0.06,-0.05,-0.06,-0.05,-0.07,-0.05,-0.06,-0.05,-0.04,-0.03,0.146887326,4.894702192,"Intuition/Theory"
"15","Team29","eafric",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.151887326,5.061316368,"Intuition/Theory"
"16","AbCdEfG","eafric",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,0.156053993,5.200161516,"Data-Driven"
"17","Cynical Belief in the Inexorable Crush of the Wheel","eafric",-0.0695762,-0.0695762,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,0.161229102,5.372610827,"Data-Driven"
"18","TheMets","eafric",-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,0.161387326,5.377883304,"Data-Driven"
"19","FMTeam","eafric",-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,-0.034875,0.167012326,5.565324253,"Data-Driven"
"20","Average Joes","eafric",-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,0.167012697,5.565336608,"Data-Driven"
"21","ForeverJung90","eafric",-0.06,0.03,0.03,0.03,0.03,0.05,0.04,0.04,0,-0.05,-0.05,-0.05,0.20522066,6.838534254,"Intuition/Theory"
"22","TeamKL","eafric",0.09,0.09,0.08,0.08,0.09,0.09,0.07,0.08,0.09,0.05,0.1,0.09,0.28522066,9.504361083,"Intuition/Theory"
"23","The Well-Adjusted R Squares","easian",-0.1017757,-0.1046566,-0.1075375,-0.1104184,-0.1132993,-0.1161802,-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.064471647,1.071577256,"Hybrid"
"24","LongerSquigglyLines","easian",-0.10991,0.049419,-0.077526,-0.14619,-0.036236,0.028226,-0.103182,0.004246,-0.08988,-0.02212,0.026554,-0.144069,0.130369964,2.166867052,"Data-Driven"
"25","Heisenburg","easian",-0.119958666,-0.032699172,-0.052320984,-0.060272824,-0.093413044,-0.046630526,-0.006919475,-0.065390885,-0.00985283,-0.051051269,-0.014881973,-0.022758481,0.134079787,2.228527669,"Data-Driven"
"26","Bluebirds","easian",-0.0427656,0.00116419,-0.054445,-0.0823426,-0.122498,-0.0331561,-0.0395179,-0.0390649,-0.0390971,-0.0390948,-0.039095,-0.039095,0.13467498,2.23842032,"Data-Driven"
"27","Average Joes","easian",-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.142092297,2.361702865,"Data-Driven"
"28","BRTWN","easian",-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.142092297,2.361702865,"Data-Driven"
"29","TheMets","easian",-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,0.143092297,2.378323772,"Data-Driven"
"30","AbCdEfG","easian",-0.03579,-0.0366,-0.03664,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,-0.03665,0.145518964,2.418657173,"Data-Driven"
"31","Bordeaux","easian",-0.03,-0.037,-0.037,-0.037,-0.037,-0.03,-0.037,-0.03,-0.037,-0.03,-0.03,-0.037,0.148008964,2.460043232,"Data-Driven"
"32","MLTS","easian",-0.032623824,-0.032507584,-0.032391344,-0.032275104,-0.032158865,-0.032042625,-0.031926385,-0.031810145,-0.031693905,-0.031577665,-0.031461425,-0.031345185,0.150107793,2.494927669,"Data-Driven"
"33","Cynical Belief in the Inexorable Crush of the Wheel","easian",-0.037148,-0.037148,-0.037148,-0.037148,-0.037148,0.02,0.02,-0.037148,-0.037148,-0.037148,-0.037148,-0.037148,0.154468964,2.567414291,"Hybrid"
"34","WQXZ","easian",-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,-0.019759,0.162333297,2.698126645,"Data-Driven"
"35","fearfulastra","easian",-0.004,-0.056,-0.042,-0.047,-0.025,0.004,0.005,0.005,0.006,0.007,0.007,0.008,0.171092297,2.84370917,"Data-Driven"
"36","Team29","easian",0,0,0,0,0,0,0,0,0,0,0,0,0.182092297,3.026539147,"Intuition/Theory"
