"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"1","BlackSwan","eafric",-0.2,-0.2,-0.21,-0.21,-0.21,-0.21,0.0106680583333333,0.354090991496177,"Hybrid",2,1
"2","FMTeam","eafric",-0.2035987,-0.2035987,-0.2035987,-0.2035987,-0.2035987,-0.2035987,0.0111014016666667,0.368474393401547,"Data-Driven",2,1
"3","Compassionate Values","eafric",-0.19,-0.19,-0.19,-0.19,-0.2,-0.2,0.0123009683333333,0.408290050299351,"Intuition/Theory",2,1
"4","MLTS","eafric",-0.195824791120558,-0.196588734237524,-0.19735267735449,-0.198116620471455,-0.198880563588421,-0.199644506705387,0.0125467899510322,0.416449287680928,"Data-Driven",2,1
"5","Northstar","eafric",-0.2,-0.21,-0.19,-0.2,-0.21,-0.19,0.0140013916666667,0.464729991406713,"Hybrid",2,0
"6","Imielin","eafric",-0.19,-0.19,-0.2,-0.194,-0.193,-0.192,0.0158009683333333,0.524461000205414,"Intuition/Theory",2,1
"7","datamodelers","eafric",-0.1958663,-0.2092765,-0.1916186,-0.2288143,-0.2304895,-0.2507513,0.0202947066666667,0.673615814723305,"Data-Driven",2,0
"8","Polarization Disciples","eafric",-0.217981974171388,-0.217577002794954,-0.226042982820875,-0.223057772812353,-0.226629160975979,-0.232208690986353,0.023740326760317,0.787981803093241,"Data-Driven",2,0
"9","scaled-humanity","eafric",-0.1875254,-0.1897127,-0.17275656,-0.1860589,-0.16601599,-0.1793184,0.0241222886666667,0.800659768089976,"Data-Driven",2,0
"10","FrostNova","eafric",-0.2,-0.2,-0.2,-0.18,-0.18,-0.16,0.0256343016666667,0.850846049941495,"Intuition/Theory",2,0
"11","Team Social Psychological Skill","eafric",-0.194602799327894,-0.186806188847225,-0.183529207745286,-0.172220254287192,-0.152262999132015,-0.151563239095752,0.029887328543181,0.992011242004547,"Hybrid",2,0
"12","ForeverJung90","eafric",-0.17,-0.15,-0.2,-0.2,-0.17,-0.15,0.0313608586666667,1.0409202117647,"Intuition/Theory",2,1
"13","Tosbik","eafric",-0.22,-0.23,-0.23,-0.2,-0.24,-0.25,0.032088664,1.06507730802756,"Intuition/Theory",2,0
"14","adamman","eafric",-0.202138053,-0.189993303666667,-0.154172018333333,-0.178737429033333,-0.169601320066667,-0.136860328433333,0.0325300728000002,1.07972841648268,"Data-Driven",2,0
"15","TAPE-Measurement","eafric",-0.19,-0.18,-0.17,-0.16,-0.15,-0.152,0.034116047,1.13236959629425,"Hybrid",2,0
"16","fearfulastra","eafric",-0.147,-0.15,-0.153,-0.157,-0.16,-0.163,0.0451759373333333,1.49946615797431,"Data-Driven",1,1
"17","Pythia","eafric",-0.17844608394719,-0.165137826710832,-0.154574001753454,-0.142840540940563,-0.135142002575863,-0.125490183624714,0.049904164074564,1.65640404137432,"Hybrid",2,0
"18","Lotus","eafric",-0.23,-0.23,-0.25,-0.25,-0.27,-0.28,0.0514907293333333,1.70906483943123,"Intuition/Theory",2,0
"19","The Well-Adjusted R Squares","eafric",-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.0739125873333333,2.45328442300804,"Hybrid",1,0
"20","The Well-Adjusted R Squares","eafric",-0.1190611,-0.121942,-0.1248229,-0.1277038,-0.1305847,-0.1334656,0.0739125873333333,2.45328442300804,"Data-Driven",2,0
"21","Dragon","eafric",-0.15,-0.14,-0.13,-0.12,-0.11,-0.1,0.0751759373333333,2.49521715716913,"Intuition/Theory",2,0
"22","Tosbik","eafric",-0.12,-0.12,-0.1,-0.13,-0.14,-0.13,0.076842604,2.5505366571244,"Intuition/Theory",1,0
"23","LongerSquigglyLines","eafric",-0.142415,-0.061866,-0.095618,-0.14626,-0.129957,-0.139493,0.0809077706666667,2.6854664494653,"Data-Driven",1,1
"24","Compassionate Values","eafric",-0.109,-0.112,-0.115,-0.118,-0.121,-0.124,0.0836759373333333,2.777346606941,"Data-Driven",1,1
"25","Team Blue Skies","eafric",-0.114876690116538,-0.114876690116538,-0.113210023449872,-0.113210023449872,-0.111543356783205,-0.111543356783205,0.0869659138834617,2.88654652151159,"Intuition/Theory",2,0
"26","Bluebirds","eafric",-0.0964872,-0.0984455,-0.100396,-0.102343,-0.104288,-0.106202,0.098815654,3.27985954021966,"Data-Driven",1,1
"27","BlackSwan","eafric",-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,0.100175937333333,3.32500965649815,"Intuition/Theory",1,1
"28","Cynical Belief in the Inexorable Crush of the Wheel","eafric",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.100175937333333,3.32500965649815,"Data-Driven",2,1
"29","A Woman Scientist","eafric",-0.08,-0.07,-0.1,-0.11,-0.08,-0.08,0.113509270666667,3.7675656561403,"Intuition/Theory",1,0
"30","WQXZ","eafric",-0.077757,-0.078404,-0.079052,-0.079699,-0.080347,-0.080994,0.120800437333333,4.00957187259461,"Data-Driven",1,1
"31","Heisenburg","eafric",-0.097,-0.076,-0.061,-0.061,-0.09,-0.085,0.121842604,4.04416315591664,"Data-Driven",1,0
"32","MLTS","eafric",-0.07392267,-0.074456171,-0.074989672,-0.075523173,-0.076056674,-0.076590175,0.124919514833333,4.1462910571408,"Data-Driven",1,1
"33","Bordeaux","eafric",-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.130175937333333,4.32076065569298,"Data-Driven",1,1
"34","BRTWN","eafric",-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,-0.0695762,0.130599737333333,4.3348272981416,"Data-Driven",1,1
"35","BRTWN","eafric",-0.06584536,-0.05995743,-0.0543951,-0.04877094,-0.07337077,-0.07056412,0.138025317333333,4.5812949216283,"Data-Driven",2,1
"36","Average Joes","eafric",-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,0.140175937333333,4.65267765542458,"Data-Driven",2,1
"37","Imielin","eafric",-0.07,-0.05,-0.06,-0.05,-0.04,-0.03,0.150175937333333,4.98459465515619,"Intuition/Theory",1,1
"38","Team29","eafric",-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,0.150175937333333,4.98459465515619,"Intuition/Theory",1,1
